seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,controller,display_label,time_s,state_index,action_index,selected_sign,q1_deg,q2_deg,q3_deg,q4_deg,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,com_x_m,com_y_m,signed_com_displacement_m,support_knee_torque_nm,hip_torque_nm,swing_knee_torque_nm,support_knee_motor_rate_rad_s,hip_motor_rate_rad_s,swing_knee_motor_rate_rad_s,support_knee_positive_power_w,hip_positive_power_w,swing_knee_positive_power_w,support_knee_cumulative_positive_work_j,hip_cumulative_positive_work_j,swing_knee_cumulative_positive_work_j,running_cmt,terminal_reason,formal_final_cmt,replayed_final_cmt
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.01,1,18,1.0,57.08098522614516,58.81762498264424,-57.96629529243613,21.096506931359464,0.9038138330104842,-0.9205249839614535,2.273764759015325,5.19716863110127,-0.016412608593416242,0.3361178131333296,0.0010278126034747193,-0.2,4.0,-0.2,-0.8657930775112193,1.015654216161554,2.354510166518688,0.17315861550224387,4.062616864646216,0.0,0.0017315861550224387,0.040626168646462166,0.0,1.6515829986872588,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.02,2,18,1.0,57.64377974983701,58.27224267994837,-55.97382985787407,25.606957965458506,1.0535684403911925,-0.9664415645512024,4.64276906394376,10.427123731694909,-0.0170623326292384,0.3366818760360281,0.001677536639296878,-0.2,4.0,-0.2,-0.9434832742563279,3.4582669114795426,7.81214618139809,0.1886966548512656,13.83306764591817,0.0,0.0036185527035350945,0.17895684510564386,0.0,4.361658425374664,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.03,3,3,-1.0,57.94306099309413,58.18820912672699,-54.37389689087467,29.195803920030922,0.0005389583769481732,0.6533732852110893,0.9864355487810683,2.2359147809294146,-0.01764637457613032,0.3364138444747033,0.0022615785861887974,0.0,-4.0,-0.2,-0.15653413967005658,2.8146023063624144,6.331519256312162,-0.0,0.0,0.0,0.0036185527035350945,0.17895684510564386,0.0,3.23528081727827,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.04,4,18,1.0,57.98312503956644,58.55568071686824,-53.167867523874676,31.82881727693453,0.13399427809800749,0.6413574234582399,3.198885994804246,6.876310429114276,-0.018165839174496927,0.335317660903979,0.0027810431845554043,-0.2,4.0,-0.2,0.6473653543346646,2.092660771792657,4.556112605021845,0.0,8.370643087170627,0.0,0.0036185527035350945,0.2626632759773501,0.0,3.837206827836524,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.05,5,3,-1.0,57.77358256325078,59.36023201844166,-52.32070968323845,33.611572386734494,-0.8547432247843832,2.1456678162143104,-0.21428873512839264,-0.5769153941558631,-0.018621551204614915,0.33339266091279,0.003236755214673393,0.0,-4.0,-0.2,1.393512619836275,1.4922986298379266,3.1496975174792063,0.0,0.0,0.0,0.0036185527035350945,0.2626632759773501,0.0,3.2969554966364787,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.06,6,2,-1.0,57.02974886438284,60.990359353336885,-53.22524661314316,32.00087291435011,-1.7343131376284235,3.5300543178298684,-2.9459014341130745,-5.080001337835671,-0.01933126436958905,0.33010765357688243,0.0039464683796475285,-0.2,-4.0,0.2,2.8378610670220894,-1.5800950846207336,-2.828458365995767,0.0,6.320380338482934,0.0,0.0036185527035350945,0.32586707936217946,0.0,3.3458715493905813,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.07,7,11,1.0,55.94252477471752,63.196040468028826,-54.904055577171185,29.50168131055274,-2.055564627495393,4.15927562849391,-2.90583339305741,-3.630137053751488,-0.020149829892468947,0.3257453776381618,0.0047650339025274244,-0.2,0.0,0.2,3.8446649731618896,-2.9258674135852423,-4.355069195793579,0.0,-0.0,0.0,0.0036185527035350945,0.32586707936217946,0.0,2.771098074460388,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.08,8,11,1.0,54.68013653557398,65.74535938874943,-56.54653611152399,27.853727863801463,-2.3460365031946617,4.730108787487952,-2.821066630892012,-2.113900870216794,-0.020924435147583176,0.3205556743130125,0.005539639157641654,-0.2,0.0,0.2,4.444692207990931,-2.8634500119747113,-2.872018961984141,0.0,-0.0,0.0,0.0036185527035350945,0.32586707936217946,0.0,2.383616675432269,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.09,9,18,1.0,53.3893188529749,68.42277477582914,-57.50634750477297,28.065589824436362,-2.1626887843480005,4.622764307114848,-0.5363942900312924,2.842887681742213,-0.021489245660832282,0.3147768812482271,0.006104449670890759,-0.2,4.0,-0.2,4.6764365473014,-1.6787304604616522,0.3644934057627096,0.0,0.0,0.0,0.0036185527035350945,0.32586707936217946,0.0,2.163073984375308,,,
20260719,1155,-1.0,touchdown,0.3,0.01,true_action_mask_scratch,True per-step action mask,0.1,10,2,-1.0,51.941876417486576,71.3861174170709,-58.58329191608606,28.285094892869207,-2.8794470502652785,5.6997307584604835,-3.2103638329842425,-2.067705715305232,-0.02201454489859629,0.30816493164500197,0.006629748908654769,-0.2,-4.0,0.2,5.161247532787666,-1.8733790615077675,0.3875909832184905,0.0,7.49351624603107,0.0775181966436981,0.0036185527035350945,0.40080224182249014,0.0007751819664369811,2.449342139076564,success,2.449342139076564,2.449342139076564
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.0,0,,,56.613073456604674,59.31476625997926,-58.55115100369986,19.738053813752796,0.7281631125007952,-0.811061171060985,-0.24245632669221728,-0.48814829806389437,-0.015384795989941523,0.3352719618102884,-0.0,,,,,,,,,,0.0,0.0,0.0,nan,,,
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.01,1,2,1.0,56.920762460168845,59.05892556196099,-58.66383179583437,19.94996924604883,0.3455891883834845,-0.08079135978031415,-0.15201268112037464,1.2270609684512959,-0.016574404107240603,0.3358561895493934,0.0011896081172990802,-0.2,0.0,0.2,-0.44592626542064956,-0.19723450390629596,0.36945633519370075,0.08918525308412992,-0.0,0.07389126703874015,0.0008918525308412991,0.0,0.0007389126703874015,0.05493750438344292,,,
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.02,2,2,1.0,57.009136777899684,59.22292336915076,-58.72739916654891,21.14021476023781,-0.03672343057256344,0.6533098842172249,-0.07234504794434764,2.9215189201287908,-0.01770706167798391,0.3356325119097317,0.002322265688042389,-0.2,0.0,0.2,0.2862592622184554,-0.11217886453236114,2.0742899442900433,0.0,-0.0,0.4148579888580087,0.0008918525308412991,0.0,0.004887492558967488,0.09973512410459236,,,
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.03,3,2,1.0,56.879514514430575,59.806935616973924,-58.75037201170512,23.287459462627158,-0.41466323410702266,1.3840989660392706,-0.0117584936280734,4.5618136475584175,-0.018783190766081502,0.3346008049599484,0.0033983947761399794,-0.2,0.0,0.2,1.0187044251282478,-0.042051770786210516,3.741666283843604,0.0,-0.0,0.7483332567687209,0.0008918525308412991,0.0,0.012370825126654696,0.15640073780365962,,,
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.04,4,3,1.0,56.514388765025615,60.82008993230281,-58.9523090090519,25.443117263471418,-0.8564463343534139,2.1459962984735688,-0.6872525765543632,2.972861006304033,-0.019799263211899815,0.33273134108336005,0.004414467221958292,0.0,0.0,-0.2,1.7650476322564197,-0.3495055350912183,3.767337326931225,0.0,-0.0,0.0,0.0008918525308412991,0.0,0.012370825126654696,0.12040217394583187,,,
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.05,5,3,1.0,55.90227509972715,62.258121136323595,-59.531707161351285,26.70317622078587,-1.2764234876005192,2.8663891573697535,-1.33036735542153,1.4312846783378845,-0.020752755288847652,0.3299927897903977,0.005367959298906129,0.0,0.0,-0.2,2.506192727921661,-1.0088099659879466,2.2020728423209586,0.0,-0.0,0.0,0.0008918525308412991,0.0,0.012370825126654696,0.09901555148614961,,,
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.06,6,3,1.0,55.05620512933024,64.09607899950953,-60.471939821609894,27.0871450691447,-1.6729536443697999,3.541596956593846,-1.9481007498918945,-0.08991971154402023,-0.021646654042392913,0.3263801185107062,0.006261858052451391,0.0,0.0,-0.2,3.2039930569818,-1.6392340526567124,0.6706824833969321,0.0,-0.0,0.0,0.0008918525308412991,0.0,0.012370825126654696,0.08488078871866465,,,
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.07,7,3,1.0,53.98974114165038,66.30762219445444,-61.76081799781084,26.598630144678232,-2.045825287610335,4.170472752805363,-2.548871656923465,-1.619013659507867,-0.02248438109197719,0.32188734206351044,0.007099585102035668,0.0,0.0,-0.2,3.8560348546996046,-2.24848620340768,-0.8544666855259436,0.0,-0.0,0.17089333710518873,0.0008918525308412991,0.0,0.014079758497706582,0.08451172696899148,,,
20260719,1155,-1.0,touchdown,0.3,0.01,passive_sign_selector,Online selector,0.08,8,4,1.0,52.72233064875711,68.86789266089002,-63.29460597891882,25.675628062333264,-2.3740127554158272,4.7582142293085345,-2.801959306550099,-1.6041085455210413,-0.023271177339480094,0.3165063485275569,0.007886381349538571,0.0,0.0,0.0,4.464343491056949,-2.675415481736782,-1.6115611025144543,0.0,-0.0,-0.0,0.0008918525308412991,0.0,0.014079758497706582,0.07608029223332746,,,
