scope,validity_definition,n_pairs,active_success_n,selector_success_n,active_success_rate,selector_success_rate,selector_minus_active_success_rate,active_valid_n,selector_valid_n,active_valid_rate,selector_valid_rate,selector_minus_active_valid_rate,both_valid_n,both_valid_rate,active_mean_cmt_both_valid,selector_mean_cmt_both_valid,mean_selector_minus_active_cmt,median_selector_minus_active_cmt,fraction_selector_lower_cmt,zero_torque_success_displacement_active_n,zero_torque_success_displacement_selector_n
direction=+1;length=0.30;height=0.00,A,600,219,212,0.365,0.35333333333333333,-0.011666666666666659,120,134,0.2,0.22333333333333333,0.023333333333333317,102,0.17,0.871056832664384,0.0974825073355263,-0.7735743253288581,-0.26403231927089643,0.9215686274509803,0,0
direction=+1;length=0.30;height=0.00,B,600,219,212,0.365,0.35333333333333333,-0.011666666666666659,120,134,0.2,0.22333333333333333,0.023333333333333317,102,0.17,0.871056832664384,0.0974825073355263,-0.7735743253288581,-0.26403231927089643,0.9215686274509803,0,0
direction=+1;length=0.30;height=0.01,A,600,236,222,0.3933333333333333,0.37,-0.023333333333333317,136,144,0.22666666666666666,0.24,0.013333333333333336,115,0.19166666666666668,1.234409793493891,0.10043975913403784,-1.133970034359853,-0.3556074559968724,0.8956521739130435,0,0
direction=+1;length=0.30;height=0.01,B,600,236,222,0.3933333333333333,0.37,-0.023333333333333317,136,144,0.22666666666666666,0.24,0.013333333333333336,115,0.19166666666666668,1.234409793493891,0.10043975913403784,-1.133970034359853,-0.3556074559968724,0.8956521739130435,0,0
direction=+1;length=0.30;height=0.02,A,600,238,225,0.39666666666666667,0.375,-0.021666666666666667,129,147,0.215,0.245,0.03,107,0.17833333333333334,1.573415639380647,0.24976271704280037,-1.3236529223378464,-0.45929240814691163,0.8691588785046729,0,0
direction=+1;length=0.30;height=0.02,B,600,238,225,0.39666666666666667,0.375,-0.021666666666666667,129,147,0.215,0.245,0.03,107,0.17833333333333334,1.573415639380647,0.24976271704280037,-1.3236529223378464,-0.45929240814691163,0.8691588785046729,0,0
direction=+1;length=0.35;height=0.00,A,600,218,214,0.36333333333333334,0.3566666666666667,-0.006666666666666654,109,130,0.18166666666666667,0.21666666666666667,0.035,96,0.16,3.1089148313894355,0.139001220510891,-2.9699136108785447,-0.70194107217377,0.875,0,0
direction=+1;length=0.35;height=0.00,B,600,218,214,0.36333333333333334,0.3566666666666667,-0.006666666666666654,109,130,0.18166666666666667,0.21666666666666667,0.035,96,0.16,3.1089148313894355,0.139001220510891,-2.9699136108785447,-0.70194107217377,0.875,0,0
direction=+1;length=0.35;height=0.01,A,600,210,199,0.35,0.33166666666666667,-0.018333333333333313,114,136,0.19,0.22666666666666666,0.03666666666666665,99,0.165,2.2995525944290076,0.19926999338205004,-2.1002826010469584,-0.7855946442071593,0.8888888888888888,0,0
direction=+1;length=0.35;height=0.01,B,600,210,199,0.35,0.33166666666666667,-0.018333333333333313,114,136,0.19,0.22666666666666666,0.03666666666666665,99,0.165,2.2995525944290076,0.19926999338205004,-2.1002826010469584,-0.7855946442071593,0.8888888888888888,0,0
direction=+1;length=0.35;height=0.02,A,600,208,202,0.3466666666666667,0.33666666666666667,-0.010000000000000009,114,130,0.19,0.21666666666666667,0.026666666666666672,100,0.16666666666666666,1.4802817946883255,0.24003626981000756,-1.2402455248783177,-0.4552159403141406,0.85,0,0
direction=+1;length=0.35;height=0.02,B,600,208,202,0.3466666666666667,0.33666666666666667,-0.010000000000000009,114,130,0.19,0.21666666666666667,0.026666666666666672,100,0.16666666666666666,1.4802817946883255,0.24003626981000756,-1.2402455248783177,-0.4552159403141406,0.85,0,0
direction=+1;length=0.40;height=0.00,A,600,189,205,0.315,0.3416666666666667,0.026666666666666672,105,129,0.175,0.215,0.04000000000000001,91,0.15166666666666667,1.7316195818521845,0.2077595706541477,-1.5238600111980363,-0.3839162246849418,0.8131868131868132,0,0
direction=+1;length=0.40;height=0.00,B,600,189,205,0.315,0.3416666666666667,0.026666666666666672,105,129,0.175,0.215,0.04000000000000001,91,0.15166666666666667,1.7316195818521845,0.2077595706541477,-1.5238600111980363,-0.3839162246849418,0.8131868131868132,0,0
direction=+1;length=0.40;height=0.01,A,600,200,208,0.3333333333333333,0.3466666666666667,0.013333333333333364,103,125,0.17166666666666666,0.20833333333333334,0.03666666666666668,91,0.15166666666666667,1.3904432531900963,0.1093856950298184,-1.281057558160278,-0.4259372437508336,0.8681318681318682,0,0
direction=+1;length=0.40;height=0.01,B,600,200,208,0.3333333333333333,0.3466666666666667,0.013333333333333364,103,125,0.17166666666666666,0.20833333333333334,0.03666666666666668,91,0.15166666666666667,1.3904432531900963,0.1093856950298184,-1.281057558160278,-0.4259372437508336,0.8681318681318682,0,0
direction=+1;length=0.40;height=0.02,A,600,196,204,0.32666666666666666,0.34,0.013333333333333364,106,124,0.17666666666666667,0.20666666666666667,0.03,95,0.15833333333333333,1.7462435787500445,0.17509254075024022,-1.5711510379998046,-0.2202997002087287,0.7789473684210526,0,0
direction=+1;length=0.40;height=0.02,B,600,196,204,0.32666666666666666,0.34,0.013333333333333364,106,124,0.17666666666666667,0.20666666666666667,0.03,95,0.15833333333333333,1.7462435787500445,0.17509254075024022,-1.5711510379998046,-0.2202997002087287,0.7789473684210526,0,0
