batch,seed,validity_definition,n_pairs,active_success_n,selector_success_n,active_success_rate,selector_success_rate,selector_minus_active_success_rate,active_valid_n,selector_valid_n,active_valid_rate,selector_valid_rate,selector_minus_active_valid_rate,both_valid_n,both_valid_rate,active_mean_cmt_both_valid,selector_mean_cmt_both_valid,mean_selector_minus_active_cmt,median_selector_minus_active_cmt,fraction_selector_lower_cmt,zero_torque_success_displacement_active_n,zero_torque_success_displacement_selector_n,paired_delta_variance,paired_delta_standard_error
batch03,20261123,A,720,351,339,0.4875,0.4708333333333333,-0.016666666666666663,184,186,0.25555555555555554,0.25833333333333336,0.0027777777777778234,165,0.22916666666666666,1.8019203055670765,0.5001007423835654,-1.301819563183511,-0.43901315525052836,0.8727272727272727,0,0,14.093380009742873,0.2922574623537814
batch03,20261123,B,720,351,339,0.4875,0.4708333333333333,-0.016666666666666663,184,186,0.25555555555555554,0.25833333333333336,0.0027777777777778234,165,0.22916666666666666,1.8019203055670765,0.5001007423835654,-1.301819563183511,-0.43901315525052836,0.8727272727272727,0,0,14.093380009742873,0.2922574623537814
batch04,20261201,A,720,355,338,0.4930555555555556,0.46944444444444444,-0.023611111111111138,185,179,0.2569444444444444,0.24861111111111112,-0.008333333333333304,163,0.2263888888888889,1.4298526780950067,0.36467818135487845,-1.0651744967401282,-0.25406843465734175,0.8098159509202454,0,0,3.441805129189453,0.14531128273720811
batch04,20261201,B,720,355,338,0.4930555555555556,0.46944444444444444,-0.023611111111111138,185,179,0.2569444444444444,0.24861111111111112,-0.008333333333333304,163,0.2263888888888889,1.4298526780950067,0.36467818135487845,-1.0651744967401282,-0.25406843465734175,0.8098159509202454,0,0,3.441805129189453,0.14531128273720811
batch04,20261202,A,720,344,330,0.4777777777777778,0.4583333333333333,-0.019444444444444486,169,166,0.23472222222222222,0.23055555555555557,-0.004166666666666652,143,0.1986111111111111,1.1011345123690137,0.21964041278863047,-0.881494099580383,-0.2660207201966488,0.8041958041958042,0,0,4.815766445818664,0.18351209342247268
batch04,20261202,B,720,344,330,0.4777777777777778,0.4583333333333333,-0.019444444444444486,169,166,0.23472222222222222,0.23055555555555557,-0.004166666666666652,143,0.1986111111111111,1.1011345123690137,0.21964041278863047,-0.881494099580383,-0.2660207201966488,0.8041958041958042,0,0,4.815766445818664,0.18351209342247268
batch04,20261203,A,720,351,336,0.4875,0.4666666666666667,-0.020833333333333315,171,182,0.2375,0.25277777777777777,0.015277777777777779,151,0.20972222222222223,1.4842647725701925,0.37568056099468583,-1.1085842115755067,-0.35894019952379363,0.8609271523178808,0,0,6.17919743275804,0.20229146621405802
batch04,20261203,B,720,351,336,0.4875,0.4666666666666667,-0.020833333333333315,171,182,0.2375,0.25277777777777777,0.015277777777777779,151,0.20972222222222223,1.4842647725701925,0.37568056099468583,-1.1085842115755067,-0.35894019952379363,0.8609271523178808,0,0,6.17919743275804,0.20229146621405802
batch05,20261211,A,720,347,346,0.48194444444444445,0.48055555555555557,-0.001388888888888884,169,178,0.23472222222222222,0.24722222222222223,0.012500000000000011,151,0.20972222222222223,1.2645615353812523,0.4680875125491755,-0.796474022832077,-0.24130561116043328,0.7483443708609272,0,0,3.7912806923288933,0.15845447028877407
batch05,20261211,B,720,347,346,0.48194444444444445,0.48055555555555557,-0.001388888888888884,169,178,0.23472222222222222,0.24722222222222223,0.012500000000000011,151,0.20972222222222223,1.2645615353812523,0.4680875125491755,-0.796474022832077,-0.24130561116043328,0.7483443708609272,0,0,3.7912806923288933,0.15845447028877407
batch05,20261212,A,720,330,316,0.4583333333333333,0.4388888888888889,-0.01944444444444443,169,176,0.23472222222222222,0.24444444444444444,0.009722222222222215,150,0.20833333333333334,1.6582561902843493,0.5445201761144851,-1.1137360141698645,-0.3313319911175875,0.82,0,0,20.50475428350034,0.3697274156591614
batch05,20261212,B,720,330,316,0.4583333333333333,0.4388888888888889,-0.01944444444444443,169,176,0.23472222222222222,0.24444444444444444,0.009722222222222215,150,0.20833333333333334,1.6582561902843493,0.5445201761144851,-1.1137360141698645,-0.3313319911175875,0.82,0,0,20.50475428350034,0.3697274156591614
batch05,20261213,A,720,354,345,0.49166666666666664,0.4791666666666667,-0.012499999999999956,174,179,0.24166666666666667,0.24861111111111112,0.0069444444444444475,155,0.2152777777777778,1.4815691251127312,0.435378925177016,-1.046190199935715,-0.41026529187713334,0.8451612903225807,0,0,3.3502882761049477,0.14701960097770916
batch05,20261213,B,720,354,345,0.49166666666666664,0.4791666666666667,-0.012499999999999956,174,179,0.24166666666666667,0.24861111111111112,0.0069444444444444475,155,0.2152777777777778,1.4815691251127312,0.435378925177016,-1.046190199935715,-0.41026529187713334,0.8451612903225807,0,0,3.3502882761049477,0.14701960097770916
