seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,hold_success,requery_success,hold_valid_for_cmt,requery_valid_for_cmt,both_valid_for_cmt,hold_cmt,requery_cmt,requery_minus_hold_cmt,requery_lower_cmt,hold_energy_j,requery_energy_j,hold_displacement_m,requery_displacement_m,hold_terminal_reason,requery_terminal_reason,hold_sign_switch_count,requery_sign_switch_count,hold_sign_sequence_rle,requery_sign_sequence_rle
20260702,35,1.0,mid_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,1.1683789138249718,0.5537020867793192,0.09244019989168376,0.08378438537594993,clearance_ground+foot_ground_bad_clearance,clearance_ground+foot_ground_bad_clearance,0,1,+x16,+x4|-x8
20260702,36,1.0,pre_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,1.414930526368553,1.0340412684774523,-0.0036346285261343544,-0.005684337881426568,clearance_ground+foot_ground_before_ready,clearance,0,1,+x12,+x5|-x6
20260702,37,1.0,touchdown,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.37060799269332845,0.37060799269332845,-0.02461680452436782,-0.02461680452436782,clearance_ground+foot_ground_after_ready,clearance_ground+foot_ground_after_ready,0,0,-x10,-x10
20260702,38,1.0,touchdown,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.20865857706551513,0.20865857706551513,-0.0049751142522957426,-0.0049751142522957426,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x9,-x9
20260702,39,1.0,touchdown,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.023757354795421175,0.023757354795421175,-0.001626986405503239,-0.001626986405503239,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x10,-x10
20260702,40,1.0,pre_cross,0.3,0.0,False,False,False,False,False,nan,nan,nan,,0.6809124984293536,0.747166267755556,-0.058239220692009916,-0.056319105710055675,clearance,clearance_ground+foot_ground_bad_clearance,0,1,+x13,+x8|-x5
20260702,41,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.3465227207144284,0.13936853254655665,-0.02859340974562266,-0.022560872255436806,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x22,+x1|-x9
20260702,42,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.663819189993129,0.6710821084256289,0.06397880344420281,0.030910843848302137,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x25,+x5|-x10
20260702,43,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.7535861689274717,0.7381329372117286,0.053298790223168524,0.036332862367672414,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x15,+x5|-x8
20260702,44,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.23761633687605752,0.23761633687605752,-0.010510443986344042,-0.010510443986344042,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x9,-x9
20260702,45,1.0,mid_cross,0.3,0.01,True,False,True,False,False,0.47560732346415846,nan,nan,,0.9376440414799099,0.6983407492148033,0.07900796489820601,0.0674909216170294,success,clearance_ground+foot_ground_before_ready,0,1,+x15,+x7|-x8
20260702,46,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.11869803542344454,0.11869803542344454,0.0026360878170490626,0.0026360878170490626,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x14,-x14
20260702,47,1.0,touchdown,0.3,0.01,True,True,True,True,True,0.0130071485011802,0.0130071485011802,0.0,False,0.007983932658028743,0.007983932658028743,0.024598927759634404,0.024598927759634404,success,success,0,0,+x7,+x7
20260702,48,1.0,touchdown,0.3,0.01,True,True,False,False,False,nan,nan,nan,,0.6954839647812495,0.6954839647812495,-0.03489567285110648,-0.03489567285110648,success,success,0,0,-x7,-x7
20260702,49,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.04824628016185561,0.04824628016185561,-0.028843676304097815,-0.028843676304097815,clearance,clearance,0,0,-x7,-x7
20260702,50,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.4199116220216631,0.5322921136528669,0.06616668402903966,0.05312278541509012,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x22,+x8|-x9
20260702,51,1.0,touchdown,0.3,0.01,True,True,True,True,True,0.013531298722344766,0.013531298722344766,0.0,False,0.0050520491133463725,0.0050520491133463725,0.01496268360384323,0.01496268360384323,success,success,0,0,+x5,+x5
20260702,52,1.0,touchdown,0.3,0.01,True,True,False,False,False,nan,nan,nan,,0.006127088559124419,0.006127088559124419,0.0007419961813377729,0.0007419961813377729,success,success,0,0,+x5,+x5
20260702,53,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.11951579860288522,0.11951579860288522,-0.026577065289439206,-0.026577065289439206,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x16,-x16
20260702,54,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.14390846024718676,0.14390846024718676,-0.0029967710311828155,-0.0029967710311828155,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x8,-x8
20260702,55,1.0,touchdown,0.3,0.01,True,True,False,False,False,nan,nan,nan,,0.2776932113287146,0.2776932113287146,-0.006263632661716589,-0.006263632661716589,success,success,0,0,-x8,-x8
20260702,56,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.5214220568037645,0.6288033807474807,0.12053648144132521,0.06875913580446597,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,3,+x28,+x8|-x4|+x1|-x4
20260702,57,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.3128056042352285,0.3128056042352285,-0.03587434054854437,-0.03587434054854437,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x13,-x13
20260702,58,1.0,pre_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.9085919042365842,0.9411569988794453,0.14910716348721023,0.09949713236597904,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x29,+x5|-x15
20260702,59,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.12067501871385598,0.12067501871385598,-0.02555004055250655,-0.02555004055250655,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x12,-x12
20260702,60,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.321723584540451,0.36282312677120354,-0.03308296405926865,-0.033442243872119845,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x21,+x4|-x20
20260702,61,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.07214061870109534,0.07214061870109534,-0.015784966404117667,-0.015784966404117667,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x12,-x12
20260702,62,1.0,touchdown,0.3,0.01,True,True,False,False,False,nan,nan,nan,,0.3423580401939828,0.3423580401939828,-0.02985550416519392,-0.02985550416519392,success,success,0,0,-x9,-x9
20260702,63,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.44632551143093036,0.6089059577922636,0.028430330810475406,0.0195977123029826,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x25,+x4|-x13
20260702,64,1.0,touchdown,0.3,0.01,True,True,False,False,False,nan,nan,nan,,0.12450600239220175,0.12450600239220175,-0.009036639637512583,-0.009036639637512583,success,success,0,0,-x4,-x4
20260702,65,1.0,touchdown,0.3,0.01,True,True,False,False,False,nan,nan,nan,,0.034328340896042586,0.034328340896042586,-0.006218158745729896,-0.006218158745729896,success,success,0,0,-x3,-x3
20260702,66,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.2014596542838817,0.2014596542838817,-0.00808181217524806,-0.00808181217524806,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x11,-x11
20260702,67,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,1.3115120399834268,0.7079725482387169,0.19742770955404604,0.06343689509681066,q1_low_limit,clearance_ground+foot_ground_bad_clearance,0,1,+x30,+x7|-x8
20260702,68,1.0,touchdown,0.3,0.01,True,True,False,False,False,nan,nan,nan,,0.14669294503786703,0.14669294503786703,-0.021572312527767257,-0.021572312527767257,success,success,0,0,-x5,-x5
20260702,69,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.02891788139839846,0.02891788139839846,-0.005656086617056244,-0.005656086617056244,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x8,-x8
20260702,70,1.0,touchdown,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.12682865427178722,0.12682865427178722,-0.03594234824082644,-0.03594234824082644,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,0,-x14,-x14
