seed,episode_index,reset_phase,route,p_positive,p_negative,p_active,success,valid_for_cmt,cmt
20260702,27,mid_cross,active,0.001162276603281498,0.000172741842106916,0.9986649751663208,False,False,nan
20260702,28,mid_cross,active,5.427656651590951e-05,1.6498130150921497e-07,0.9999455213546753,False,False,nan
20260702,29,pre_cross,active,5.443031477625482e-05,2.28168790528116e-08,0.9999455213546753,False,False,nan
20260702,30,mid_cross,active,3.8364163401638507e-07,1.7658509250395582e-06,0.9999978542327881,False,False,nan
20260702,31,touchdown,negative,0.0034400608856230974,0.6247642636299133,0.3717956840991974,True,True,2.801675598193403
20260702,32,mid_cross,positive,0.5146711468696594,0.002523950766772032,0.4828048050403595,True,True,0.7319856109845008
20260702,33,mid_cross,active,0.00021665474923793226,1.2832768625514746e-08,0.9997833371162415,False,False,nan
20260702,34,touchdown,positive,0.8897568583488464,0.10758093744516373,0.00266216485761106,True,True,0.019961232905092198
20260702,35,mid_cross,active,0.16334746778011322,0.020315581932663918,0.8163369297981262,False,False,nan
20260702,36,pre_cross,active,5.157806413080834e-07,7.507379717885954e-10,0.9999995231628418,False,False,nan
20260702,37,touchdown,negative,0.014192071743309498,0.5918054580688477,0.3940024673938751,False,False,nan
20260702,38,touchdown,active,6.518574537039967e-06,0.0024318420328199863,0.9975616931915283,False,False,nan
20260702,39,touchdown,active,0.11388815939426422,0.06776050478219986,0.8183513879776001,False,False,nan
20260702,40,pre_cross,active,9.747064905241132e-05,6.245039485541781e-10,0.9999024868011475,False,False,nan
20260702,41,mid_cross,active,8.032042387640104e-05,1.640521441004239e-05,0.9999033212661743,False,False,nan
20260702,42,mid_cross,active,8.871633326634765e-06,5.2608267964160405e-08,0.9999910593032837,False,False,nan
20260702,43,mid_cross,active,0.4526180922985077,0.002381298691034317,0.5450005531311035,False,False,nan
20260702,44,touchdown,active,0.030778614804148674,0.05603526905179024,0.9131861329078674,False,False,nan
20260702,45,mid_cross,positive,0.9448750019073486,0.004795928951352835,0.050329092890024185,True,True,0.47560732346415846
20260702,46,touchdown,active,5.096047971164808e-06,0.0002734755980782211,0.9997214674949646,False,False,nan
20260702,47,touchdown,positive,0.8574966192245483,0.1387028992176056,0.0038004794623702765,True,True,0.0130071485011802
20260702,48,touchdown,negative,0.002267122268676758,0.9813008308410645,0.01643207296729088,True,False,nan
20260702,49,mid_cross,active,6.9234943111951e-07,1.1615263247222174e-05,0.9999877214431763,False,False,nan
20260702,50,mid_cross,active,7.549411407126172e-07,1.0871996636296899e-09,0.9999992847442627,False,False,nan
20260702,51,touchdown,active,0.8174875974655151,0.15740662813186646,0.02510584145784378,False,False,nan
20260702,52,touchdown,positive,0.9392440915107727,0.06072821095585823,2.76057435257826e-05,True,False,nan
20260702,53,touchdown,active,8.261716288870957e-08,0.00016454119759146124,0.9998353719711304,False,False,nan
20260702,54,touchdown,active,0.059604983776807785,0.22774603962898254,0.7126489877700806,False,False,nan
20260702,55,touchdown,negative,0.4441142976284027,0.5440669655799866,0.01181881595402956,True,False,nan
20260702,56,mid_cross,active,1.3360415323404595e-05,1.398987450329514e-07,0.9999865293502808,False,False,nan
20260702,57,touchdown,active,7.288781489478424e-07,0.001493073534220457,0.9985061287879944,False,False,nan
20260702,58,pre_cross,active,4.5921478886157274e-05,5.35416631919361e-07,0.9999535083770752,False,False,nan
20260702,59,mid_cross,active,6.043542749578634e-11,4.6344855064717194e-08,1.0,False,False,nan
20260702,60,mid_cross,active,0.00018113639089278877,1.7011709587677615e-06,0.9998171925544739,False,False,nan
20260702,61,touchdown,active,4.65478005935438e-05,0.002171009313315153,0.9977824091911316,False,False,nan
