case_id,controller,success,cmt_unchanged,energy_j_unchanged,com_displacement_m_unchanged,legacy_landing_error_archived_abs_m,legacy_landing_error_recomputed_abs_m,corrected_actual_foot_sum_m,corrected_target_foot_sum_m,corrected_accumulated_signed_residual_m,corrected_accumulated_abs_residual_m,corrected_per_transition_mae_m,corrected_per_transition_rmse_m,max_abs_transition_residual_m
raised_1.145_r3,discrete,True,0.24010378326288317,6.231568728129094,1.177873724188287,0.1494888461423165,0.1494888461423165,1.356174304945439,1.4968524379876138,-0.1406781330421749,0.1406781330421749,0.04689271101405832,0.047666758539175215,0.05893919611115139
raised_1.145_r3,mpc,True,0.2336846609099357,6.730552019948807,1.3071361533626882,0.012919673547641786,0.012919673547641786,1.5085320094613808,1.4968524379876138,0.01167957147376697,0.01167957147376697,0.023433797532590284,0.0242225350737194,0.029310910562001913
raised_1.145_r3,passive,True,0.13212368445931796,3.582565699548954,1.2305912849930618,0.09649707897328286,0.09649707897328286,1.4070930053216173,1.4968524379876138,-0.08975943266599651,0.08975943266599651,0.029919810888665504,0.032487445200674515,0.04420197459302688
raised_1.28_r1,continuous,True,0.23140221463914637,6.801721618638266,1.3339872839614322,0.13588136209868296,0.13588136209868296,1.3698931765315545,1.4968524379876138,-0.1269592614560593,0.1269592614560593,0.04231975381868643,0.04271126659442165,0.04975045865428762
raised_1.28_r1,discrete,True,0.224470194060896,6.385644627240897,1.2910599564932381,0.15049186478676968,0.15049186478676968,1.3547771312464416,1.4968524379876138,-0.1420753067411722,0.1420753067411722,0.04735843558039075,0.048403987181756127,0.061414946097412715
raised_1.28_r1,mpc,True,0.16465844581543587,4.997011402081029,1.3772940656232233,0.026109130567324668,0.026109130567324668,1.4706133241410613,1.4968524379876138,-0.02623911384655253,0.02623911384655253,0.027463542993726314,0.0275102427274942,0.02904682362978167
raised_1.28_r1,passive,True,0.12320914014917492,3.6080459095108535,1.3290137552791839,0.1071597656818255,0.1071597656818255,1.3986210452418362,1.4968524379876138,-0.09823139274577763,0.09823139274577763,0.03295040519951755,0.04205389699349738,0.06427565788333689
raised_1.28_r2,continuous,True,0.22497154385730195,6.6819957640281045,1.3479660526724486,0.11678660675107588,0.11678660675107588,1.389170251474321,1.4968524379876138,-0.10768218651329287,0.10768218651329287,0.03589406217109764,0.03768098445632406,0.04656581801090959
raised_1.28_r2,discrete,True,0.22253973480066633,6.415906850357674,1.308431019345505,0.13151615520087856,0.13151615520087856,1.37339553010963,1.4968524379876138,-0.12345690787798391,0.12345690787798391,0.0411523026259946,0.04183269615671257,0.05080921353459489
raised_1.28_r2,mpc,True,0.17493955405531159,5.314751968472263,1.378781139548889,0.027077642520611622,0.027077642520611622,1.4698741090594392,1.4968524379876138,-0.026978328928174644,0.026978328928174644,0.027994093116874952,0.028010861451640306,0.0288425161537319
raised_1.28_r2,passive,True,0.11919749326798594,3.5093838705978295,1.3361773362343916,0.11375699923219962,0.11375699923219962,1.3914128176509664,1.4968524379876138,-0.10543962033664744,0.10543962033664744,0.03514654011221583,0.04107945316078078,0.05032220641959456
raised_1.28_r3,continuous,True,0.2253669869175364,6.653663301069404,1.3398953180398099,0.12677963457978692,0.12677963457978692,1.379684357612212,1.4968524379876138,-0.11716808037540183,0.11716808037540183,0.039056026791800626,0.040366499621307825,0.04775041918513839
raised_1.28_r3,discrete,True,0.21875777955676068,6.197669487266955,1.285775817386397,0.1549925346777763,0.1549925346777763,1.3507444112042257,1.4968524379876138,-0.14610802678338808,0.14610802678338808,0.04870267559446271,0.050282062642129415,0.06604047393202017
raised_1.28_r3,mpc,True,0.19525330088538523,5.738626920011977,1.3338590947817777,0.11131951188400802,0.11131951188400802,1.391045653949588,1.4968524379876138,-0.1058067840380259,0.1058067840380259,0.03526892801267536,0.03651300922052082,0.04480992006434675
raised_1.28_r3,passive,True,0.12048524477893445,3.5209019229524703,1.3262347742714964,0.12484323160028632,0.12484323160028632,1.380756528120986,1.4968524379876138,-0.11609590986662788,0.11609590986662788,0.03869863662220927,0.042321537730899035,0.05315397069828809
