case_id,controller,transition_index,source,terminal_theta1_rad,terminal_theta2_rad,target_theta1_rad,target_theta2_rad,corrected_foot_x_m,corrected_target_foot_x_m,landing_residual_actual_minus_target_m,landing_residual_abs_m,legacy_foot_x_recomputed_m,legacy_foot_x_archived_m,legacy_x_recompute_error_m,corrected_foot_y_m
flat_1.28_r3,continuous,2,learned_archived_terminal_state,1.0543415628481647,0.43824768218528154,1.0471975511965976,0.5235987755982988,0.4613839924412847,0.501,-0.039616007558715305,0.039616007558715305,0.4783581284201463,0.4783581284201463,0.0,0.01750482962778971
flat_1.28_r3,continuous,3,learned_archived_terminal_state,1.132706759325068,0.4623163573388677,1.0471975511965976,0.5235987755982988,0.4355503441654654,0.501,-0.0654496558345346,0.0654496558345346,0.4533912438408383,0.4533912438408383,0.0,0.041293245923192834
flat_1.28_r3,discrete,1,learned_archived_terminal_state,1.0925559931367155,0.4363418752579888,1.0471975511965976,0.5235987755982988,0.4430569461266598,0.501,-0.0579430538733402,0.0579430538733402,0.45996202324952135,0.45996202324952135,0.0,0.026614890107365063
flat_1.28_r3,discrete,2,learned_archived_terminal_state,1.0553248028466713,0.4426493513445464,1.0471975511965976,0.5235987755982988,0.46285354913308324,0.501,-0.03814645086691676,0.03814645086691676,0.47998694803109576,0.47998694803109576,0.0,0.018660227343390512
flat_1.28_r3,discrete,3,learned_archived_terminal_state,1.1137497789448962,0.5254584557146544,1.0471975511965976,0.5235987755982988,0.4711914061645266,0.501,-0.029808593835473407,0.029808593835473407,0.4912557927522498,0.4912557927522498,0.0,0.0514141925290319
flat_1.28_r3,passive,1,learned_archived_terminal_state,1.043465552947383,0.43964903560797375,1.0471975511965976,0.5235987755982988,0.466906192202353,0.501,-0.03409380779764698,0.03409380779764698,0.4839310683312467,0.4839310683312467,0.0,0.014966482283638227
flat_1.28_r3,passive,2,learned_archived_terminal_state,1.1163625369458383,0.4411459347421605,1.0471975511965976,0.5235987755982988,0.43407028816443716,0.501,-0.06692971183556284,0.06692971183556284,0.45114932702597016,0.45114932702597016,0.0,0.03317307126914654
flat_1.28_r3,passive,3,learned_archived_terminal_state,0.9614194625995458,0.60262469253304,1.0471975511965976,0.5235987755982988,0.5708318473010179,0.501,0.06983184730101788,0.06983184730101788,0.5935041184298403,0.5935041184298403,0.0,0.030950301976473527
raised_1.145_r1,continuous,1,learned_archived_terminal_state,1.1495169005410832,0.5215895245034283,1.0786134777324956,0.5532693728822025,0.45271421485608626,0.49895081266253793,-0.046236597806451674,0.046236597806451674,0.47264457203240257,0.47264457203240257,0.0,0.058406540272188945
raised_1.145_r1,continuous,2,learned_archived_terminal_state,1.0675223193650523,0.4687905501794628,1.0786134777324956,0.5532693728822025,0.468595785938954,0.49895081266253793,-0.030355026723583922,0.030355026723583922,0.4866680918310284,0.4866680918310284,0.0,0.027292784415733795
