"case_id","case_dir","terrain","nominal_length_m","replicate","method","script","status","returncode","elapsed_seconds","cmt","time_s","foot_error_m","source_sha256","source_scan_hits","source_tree_changed","stdout_log","stderr_log","parse_notes"
"raised_L1145_r3","paper2_case_bundle/60,30(0.33m),0.01m,1.145-3","raised_0.01m","1.145","3","LIPM COM","LIPM.py","ok","0","5.098001","0.209884","","","e24279c109c59ccfc381ce65b4d2dd2561ddab2f4ce81b80a846ba09e9c2b696","","false","data/paper2/readonly_rerun/raised_L1145_r3__lipm.stdout.txt","data/paper2/readonly_rerun/raised_L1145_r3__lipm.stderr.txt",""
"raised_L1145_r3","paper2_case_bundle/60,30(0.33m),0.01m,1.145-3","raised_0.01m","1.145","3","TVLQR tracking","LQR.py","ok","0","3.183600","0.225175","","","c94a5491c2e3dc7af38124853a442ce4f73903f3d470ad52fb40d81321403992","","false","data/paper2/readonly_rerun/raised_L1145_r3__lqr.stdout.txt","data/paper2/readonly_rerun/raised_L1145_r3__lqr.stderr.txt",""
"flat_L128_r1","paper2_case_bundle/60,30(0.33m),1.28","flat","1.28","1","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.880592","0.11319157587430137","2.67","0.03371478741545153","4d8d4c938db926963bd52607533cb93142dcc6321ac510c7cb3ef9aea82ea169","","false","data/paper2/readonly_rerun/flat_L128_r1__passive.stdout.txt","data/paper2/readonly_rerun/flat_L128_r1__passive.stderr.txt",""
"flat_L128_r1","paper2_case_bundle/60,30(0.33m),1.28","flat","1.28","1","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.300623","0.2171195951298242","2.35","0.12454114581054054","2329016e659f9012977827c5f63384010147451c2d2b35da4778783bebaec1da","","false","data/paper2/readonly_rerun/flat_L128_r1__discrete.stdout.txt","data/paper2/readonly_rerun/flat_L128_r1__discrete.stderr.txt",""
"flat_L128_r1","paper2_case_bundle/60,30(0.33m),1.28","flat","1.28","1","Continuous active PPO","Multi_continuous.py","ok","0","2.790471","0.24227017317402122","3.66","0.09929209993657095","8ea660734ed15ef28d690aa703d82d7c7f1b6f9fa97ad0ae31656309b6623cea","","false","data/paper2/readonly_rerun/flat_L128_r1__continuous.stdout.txt","data/paper2/readonly_rerun/flat_L128_r1__continuous.stderr.txt",""
"flat_L128_r1","paper2_case_bundle/60,30(0.33m),1.28","flat","1.28","1","LIPM COM","LIPM.py","ok","0","5.319909","0.227665","","","d1bdd46ea454a532c25013b74637911a2c45d2fb73b7ec8dbc1bb86288294509","","false","data/paper2/readonly_rerun/flat_L128_r1__lipm.stdout.txt","data/paper2/readonly_rerun/flat_L128_r1__lipm.stderr.txt",""
"flat_L128_r1","paper2_case_bundle/60,30(0.33m),1.28","flat","1.28","1","TVLQR tracking","LQR.py","ok","0","3.179753","0.235297","","","63937f1802364bf29a0f8974498bfb17474f670a5b5f47a86913dffdad6ea9d7","","false","data/paper2/readonly_rerun/flat_L128_r1__lqr.stdout.txt","data/paper2/readonly_rerun/flat_L128_r1__lqr.stderr.txt",""
"flat_L128_r2","paper2_case_bundle/60,30(0.33m),1.28-2","flat","1.28","2","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.913562","0.11225498534642357","2.7800000000000002","0.035464581676681206","13e7b05eea26a7f32959cc12daa1d7b59cf5d7d2a1efd1ac708ec3e0ba46c867","","false","data/paper2/readonly_rerun/flat_L128_r2__passive.stdout.txt","data/paper2/readonly_rerun/flat_L128_r2__passive.stderr.txt",""
"flat_L128_r2","paper2_case_bundle/60,30(0.33m),1.28-2","flat","1.28","2","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.266899","0.2150008954864457","3.39","0.12078724422435028","d8cf73014b7fb4f60426bc6d71890c67f3fb268c1f650072d6b9e4173dd85005","","false","data/paper2/readonly_rerun/flat_L128_r2__discrete.stdout.txt","data/paper2/readonly_rerun/flat_L128_r2__discrete.stderr.txt",""
"flat_L128_r2","paper2_case_bundle/60,30(0.33m),1.28-2","flat","1.28","2","Continuous active PPO","Multi_continuous.py","ok","0","3.025688","0.2305467973059341","3.96","0.11174469927293296","1eaab292adfa098a4f31b41037f26adbf01ea42d160b64b8c592bbd9d9ba086e","","false","data/paper2/readonly_rerun/flat_L128_r2__continuous.stdout.txt","data/paper2/readonly_rerun/flat_L128_r2__continuous.stderr.txt",""
"flat_L128_r2","paper2_case_bundle/60,30(0.33m),1.28-2","flat","1.28","2","LIPM COM","LIPM.py","ok","0","5.454539","0.220897","","","e4faa51c14d9e225dfc576f0a8960da446bf44acbbb393f980227103bc39c683","","false","data/paper2/readonly_rerun/flat_L128_r2__lipm.stdout.txt","data/paper2/readonly_rerun/flat_L128_r2__lipm.stderr.txt",""
"flat_L128_r2","paper2_case_bundle/60,30(0.33m),1.28-2","flat","1.28","2","TVLQR tracking","LQR.py","ok","0","3.105561","0.223641","","","3a7d52b9ae27cea848627899f182f4bff8ca5b9df2cf5af353b02c8a0f5d4cca","","false","data/paper2/readonly_rerun/flat_L128_r2__lqr.stdout.txt","data/paper2/readonly_rerun/flat_L128_r2__lqr.stderr.txt",""
"flat_L128_r3","paper2_case_bundle/60,30(0.33m),1.28-3","flat","1.28","3","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.847079","0.11551109964541492","2.81","0.03441548621294288","a653c5a2836520b6cc8b88f254c9abba908d782306f511edc8fef4d72c5881d7","","false","data/paper2/readonly_rerun/flat_L128_r3__passive.stdout.txt","data/paper2/readonly_rerun/flat_L128_r3__passive.stderr.txt",""
"flat_L128_r3","paper2_case_bundle/60,30(0.33m),1.28-3","flat","1.28","3","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.309832","0.1990425644470404","3.1","0.1562694616315905","2b6415bcac86f0d87545ffd195a349ff1d182e1da4cc26eba541699efb1bbb2b","","false","data/paper2/readonly_rerun/flat_L128_r3__discrete.stdout.txt","data/paper2/readonly_rerun/flat_L128_r3__discrete.stderr.txt",""
"flat_L128_r3","paper2_case_bundle/60,30(0.33m),1.28-3","flat","1.28","3","Continuous active PPO","Multi_continuous.py","ok","0","2.886414","0.22401828561719214","3.65","0.13497179869648068","1d059d3c173d76534cb13fe65e721a24d48c660f7d03c8653b7c1ef41f793fce","","false","data/paper2/readonly_rerun/flat_L128_r3__continuous.stdout.txt","data/paper2/readonly_rerun/flat_L128_r3__continuous.stderr.txt",""
"flat_L128_r3","paper2_case_bundle/60,30(0.33m),1.28-3","flat","1.28","3","LIPM COM","LIPM.py","ok","0","5.342394","0.209072","","","35f742fd9078726d6d5b1196296deafddcc169fcbb37cb94fd1fa0a9ca282a19","","false","data/paper2/readonly_rerun/flat_L128_r3__lipm.stdout.txt","data/paper2/readonly_rerun/flat_L128_r3__lipm.stderr.txt",""
"flat_L128_r3","paper2_case_bundle/60,30(0.33m),1.28-3","flat","1.28","3","TVLQR tracking","LQR.py","ok","0","2.967621","0.217185","","","25fe38298477e3fea93ca806846c68073f7f56d3356e32342da6e2e910712c9b","","false","data/paper2/readonly_rerun/flat_L128_r3__lqr.stdout.txt","data/paper2/readonly_rerun/flat_L128_r3__lqr.stderr.txt",""
"raised_L128_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.28","raised_0.01m","1.28","1","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.787170","0.12320914014917492","3.21","0.1071597656818255","a9cb407057aee57e35427978c0fb01b5f9004d04c62fb9dc5bf31b3441d121f6","","false","data/paper2/readonly_rerun/raised_L128_r1__passive.stdout.txt","data/paper2/readonly_rerun/raised_L128_r1__passive.stderr.txt",""
"raised_L128_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.28","raised_0.01m","1.28","1","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.259047","0.224470194060896","3.11","0.15049186478676968","08b781dc48e80fe9a18607bf03e4181b528976afda29f9749d5fa02fea3c89d5","","false","data/paper2/readonly_rerun/raised_L128_r1__discrete.stdout.txt","data/paper2/readonly_rerun/raised_L128_r1__discrete.stderr.txt",""
"raised_L128_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.28","raised_0.01m","1.28","1","Continuous active PPO","Multi_continuous.py","ok","0","2.737069","0.23140221463914637","3.3000000000000003","0.13588136209868296","cd7b9176de471b79be66d5ebf52dc2ea3d9181939073b306e918fbf08f501fa0","","false","data/paper2/readonly_rerun/raised_L128_r1__continuous.stdout.txt","data/paper2/readonly_rerun/raised_L128_r1__continuous.stderr.txt",""
"raised_L128_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.28","raised_0.01m","1.28","1","LIPM COM","LIPM.py","ok","0","5.116712","0.218385","","","bfabc3bb1c4e15d649c70a9270a1146b1a7060fd469e214a1cfe84189fa0095e","","false","data/paper2/readonly_rerun/raised_L128_r1__lipm.stdout.txt","data/paper2/readonly_rerun/raised_L128_r1__lipm.stderr.txt",""
"raised_L128_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.28","raised_0.01m","1.28","1","TVLQR tracking","LQR.py","ok","0","2.973371","0.224081","","","cfbefe2eddb850f73393fb5f708670c4a73068fec5c74dab19d3b2bf73641189","","false","data/paper2/readonly_rerun/raised_L128_r1__lqr.stdout.txt","data/paper2/readonly_rerun/raised_L128_r1__lqr.stderr.txt",""
"raised_L128_r2","paper2_case_bundle/60,30(0.33m),0.01m,1.28-2","raised_0.01m","1.28","2","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.746659","0.11919749326798594","3.18","0.11375699923219962","3313e61f82d7cf8b8ff0d058dcd8b2ac80c76c7c083567bb4c6d59e00375b2a4","","false","data/paper2/readonly_rerun/raised_L128_r2__passive.stdout.txt","data/paper2/readonly_rerun/raised_L128_r2__passive.stderr.txt",""
"raised_L128_r2","paper2_case_bundle/60,30(0.33m),0.01m,1.28-2","raised_0.01m","1.28","2","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.306568","0.22253973480066633","2.96","0.13151615520087856","13c06012563772f835c6a6fb439cbb654afea05f924410c73bcf7f694220f26b","","false","data/paper2/readonly_rerun/raised_L128_r2__discrete.stdout.txt","data/paper2/readonly_rerun/raised_L128_r2__discrete.stderr.txt",""
"raised_L128_r2","paper2_case_bundle/60,30(0.33m),0.01m,1.28-2","raised_0.01m","1.28","2","Continuous active PPO","Multi_continuous.py","ok","0","2.843785","0.22497154385730195","3.92","0.11678660675107588","8ac7a07c8bd147d519a60f392b5f9026bbf56f81d193946386d402bde17e3487","","false","data/paper2/readonly_rerun/raised_L128_r2__continuous.stdout.txt","data/paper2/readonly_rerun/raised_L128_r2__continuous.stderr.txt",""
"raised_L128_r2","paper2_case_bundle/60,30(0.33m),0.01m,1.28-2","raised_0.01m","1.28","2","LIPM COM","LIPM.py","ok","0","5.327820","0.204051","","","1743d8c9044cbcf7388d04269acfc9fa64a0db91fbfecdcbac7938b97c7326bb","","false","data/paper2/readonly_rerun/raised_L128_r2__lipm.stdout.txt","data/paper2/readonly_rerun/raised_L128_r2__lipm.stderr.txt",""
"raised_L128_r2","paper2_case_bundle/60,30(0.33m),0.01m,1.28-2","raised_0.01m","1.28","2","TVLQR tracking","LQR.py","ok","0","3.059538","0.217898","","","f2221fbf57513ef31f217621ef42144995327e5c621cdd9176930a643d76f59d","","false","data/paper2/readonly_rerun/raised_L128_r2__lqr.stdout.txt","data/paper2/readonly_rerun/raised_L128_r2__lqr.stderr.txt",""
"raised_L128_r3","paper2_case_bundle/60,30(0.33m),0.01m,1.28-3","raised_0.01m","1.28","3","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.757314","0.12048524477893445","3.17","0.12484323160028632","c9e7ee4d67bd12420e752ec45fe461603ae0b61e3d98e1a7e37c3a1cb64331b2","","false","data/paper2/readonly_rerun/raised_L128_r3__passive.stdout.txt","data/paper2/readonly_rerun/raised_L128_r3__passive.stderr.txt",""
"raised_L128_r3","paper2_case_bundle/60,30(0.33m),0.01m,1.28-3","raised_0.01m","1.28","3","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.269686","0.21875777955676068","3.24","0.1549925346777763","a87fc49f5af3ee259fa11018c9692937ba766ecb160da69d2236b7567053fe34","","false","data/paper2/readonly_rerun/raised_L128_r3__discrete.stdout.txt","data/paper2/readonly_rerun/raised_L128_r3__discrete.stderr.txt",""
"raised_L128_r3","paper2_case_bundle/60,30(0.33m),0.01m,1.28-3","raised_0.01m","1.28","3","Continuous active PPO","Multi_continuous.py","ok","0","2.778864","0.2253669869175364","3.74","0.12677963457978692","946f82287104725d5c7003974abecb0e8bd19a5f374c8f5cf23961eaccc5f8e3","","false","data/paper2/readonly_rerun/raised_L128_r3__continuous.stdout.txt","data/paper2/readonly_rerun/raised_L128_r3__continuous.stderr.txt",""
"raised_L128_r3","paper2_case_bundle/60,30(0.33m),0.01m,1.28-3","raised_0.01m","1.28","3","LIPM COM","LIPM.py","ok","0","5.313545","0.200457","","","d0ad5b098f510e6211f6d18359594752aaf7c391530b3200f72fdcd7d4bf6982","","false","data/paper2/readonly_rerun/raised_L128_r3__lipm.stdout.txt","data/paper2/readonly_rerun/raised_L128_r3__lipm.stderr.txt",""
"raised_L128_r3","paper2_case_bundle/60,30(0.33m),0.01m,1.28-3","raised_0.01m","1.28","3","TVLQR tracking","LQR.py","ok","0","2.955361","0.218291","","","c5e9b41fb1030a88cb5a8fff8eaaf7fed9633c8f9cab529f4cb9701d64f0753b","","false","data/paper2/readonly_rerun/raised_L128_r3__lqr.stdout.txt","data/paper2/readonly_rerun/raised_L128_r3__lqr.stderr.txt",""
