th1_index,th2_index,push_off_1_rad_s,push_off_2_rad_s,success,energy_J,com_displacement_m,cmt,completed_steps,seed
106,34,1.06,0.34,0,10000.0,1.1439383000588723,396.7324706864604,2,0
106,35,1.06,0.35000000000000003,0,10000.0,1.1417863851349574,397.4801889423327,2,0
106,36,1.06,0.36,0,10000.0,1.143216804946285,396.98285236154294,2,0
106,37,1.06,0.37,0,10000.0,1.1443106904306453,396.60336295943415,2,0
106,38,1.06,0.38,0,10000.0,1.1421227633502236,397.3631230008678,2,0
106,39,1.06,0.39,0,10000.0,1.1432886636938182,396.9579009284808,2,0
106,40,1.06,0.4,0,10000.0,1.1441879053370534,396.6459232598994,2,0
106,41,1.06,0.41000000000000003,0,10000.0,1.1417057902188676,397.5082477318646,2,0
106,42,1.06,0.42,0,10000.0,1.1426747841434408,397.1711587522486,2,0
106,43,1.06,0.43,0,10000.0,1.143434262088009,396.90735457452513,2,0
106,44,1.06,0.44,0,10000.0,1.1440120537258462,396.70689361808473,2,0
106,45,1.06,0.45,0,10000.0,1.1410094367242976,397.7508454252046,2,0
106,46,1.06,0.46,0,10000.0,1.1415879107257587,397.54929412900054,2,0
106,47,1.06,0.47000000000000003,0,10000.0,1.141996558065729,397.407036728656,2,0
106,48,1.06,0.48,0,10000.0,1.1422398504994056,397.3223906492151,2,0
106,49,1.06,0.49,0,10000.0,1.142319878928485,397.2945551126476,2,0
106,50,1.06,0.5,0,10000.0,1.1422282975792575,397.32640931506495,2,0
106,51,1.06,0.51,0,10000.0,1.1419427619290818,397.4257583003189,2,0
106,52,1.06,0.52,0,10000.0,1.1414226311860478,397.60685980410705,2,0
106,53,1.06,0.53,0,10000.0,1.140603568430873,397.8923796631371,2,0
106,54,1.06,0.54,0,10000.0,1.1393909714079502,398.31583669161165,2,0
106,55,1.06,0.55,0,10000.0,1.1422744923952335,397.3103410053173,2,0
106,56,1.06,0.56,0,10000.0,1.1405494499045477,397.9112594663979,2,0
106,57,1.06,0.5700000000000001,0,10000.0,1.1425026469181556,397.23099926239126,2,0
106,58,1.06,0.58,0,10000.0,1.139874078635362,398.14702044856784,2,0
106,59,1.06,0.59,0,10000.0,1.1409698736769731,397.76463740681953,2,0
106,60,1.06,0.6,0,10000.0,1.1413965114024713,397.6159586624117,2,0
106,61,1.06,0.61,0,10000.0,1.141091808750566,397.722132973817,2,0
106,62,1.06,0.62,0,10000.0,0.8877622556831137,511.2150974992825,2,0
106,63,1.06,0.63,0,10000.0,0.8821370749405038,514.4749959929246,2,0
106,64,1.06,0.64,0,10000.0,0.8828869817827755,514.0380110473614,2,0
106,65,1.06,0.65,0,10000.0,0.8793886685616034,516.0829156890977,2,0
106,66,1.06,0.66,0,10000.0,0.8797521659401651,515.8696797412522,2,0
106,67,1.06,0.67,0,10000.0,0.881563204841485,514.8099031388577,2,0
106,68,1.06,0.68,0,10000.0,0.8803126784304697,515.541215314976,2,0
106,69,1.06,0.6900000000000001,0,10000.0,0.8857379197930118,512.3834691432013,2,0
106,70,1.06,0.7000000000000001,0,10000.0,0.8780874662632625,516.8476780867287,2,0
106,71,1.06,0.71,0,10000.0,0.8813141287308605,514.955398194712,2,0
106,72,1.06,0.72,1,6.813882328751304,1.3302075365472854,0.23247463414663694,3,0
106,73,1.06,0.73,1,6.938526279178019,1.3385164612660811,0.23525771180100294,3,0
106,74,1.06,0.74,1,6.941653716887317,1.3311805839898019,0.23666079457256334,3,0
106,75,1.06,0.75,1,7.023314647977942,1.3352420469041373,0.23871651921573003,3,0
106,76,1.06,0.76,1,7.055220931331146,1.3343226381669524,0.2399662205181847,3,0
106,77,1.06,0.77,1,7.082195077614844,1.334098607522995,0.2409241314290025,3,0
106,78,1.06,0.78,1,7.049534889774998,1.3275521080089419,0.24099566761434368,3,0
106,79,1.06,0.79,1,7.055209589749115,1.326450700919354,0.2413899329144813,3,0
106,80,1.06,0.8,1,7.11047024964583,1.3318920767046918,0.24228673415114735,3,0
106,81,1.06,0.81,1,7.056465363702653,1.324680586723551,0.24175551498685927,3,0
106,82,1.06,0.8200000000000001,1,7.064373281911879,1.3252722774394,0.24191838451016356,3,0
106,83,1.06,0.8300000000000001,1,7.055252999356048,1.324121665964494,0.24181600832478609,3,0
106,84,1.06,0.84,1,7.032865602281231,1.321535718200085,0.24152036713320782,3,0
106,85,1.06,0.85,1,7.000014319436788,1.3177736887140554,0.24107847975502178,3,0
106,86,1.06,0.86,1,6.959568125293658,1.3130544994305287,0.24054696727282512,3,0
106,87,1.06,0.87,1,6.987618296324998,1.3168904316627874,0.24081297269475982,3,0
106,88,1.06,0.88,1,7.007453920407384,1.3199143892336276,0.24094328927485778,3,0
106,89,1.06,0.89,1,7.0210875715396845,1.3222648163501645,0.240982938314725,3,0
106,90,1.06,0.9,1,6.9608691620294625,1.31440969864741,0.24034387752071937,3,0
106,91,1.06,0.91,1,6.968374258515054,1.3155377961594739,0.24039669095459795,3,0
106,92,1.06,0.92,1,6.972428128009521,1.316163641498456,0.24042216547549938,3,0
106,93,1.06,0.93,1,6.97381283179402,1.3163265663476587,0.24044014908345201,3,0
106,94,1.06,0.9400000000000001,1,6.973555810545392,1.3160620781918348,0.2404796069366986,3,0
106,95,1.06,0.9500000000000001,1,7.032569645537003,1.3250684915514837,0.24086631162717123,3,0
106,96,1.06,0.96,1,7.027108159414598,1.324026217874489,0.240868717858149,3,0
106,97,1.06,0.97,1,7.021113327821141,1.3226349993220508,0.24091637508014555,3,0
106,98,1.06,0.98,1,7.0155140852858695,1.320917903795631,0.24103717125066232,3,0
106,99,1.06,0.99,1,7.009971971316487,1.3188953300000246,0.24121610400127164,3,0
106,100,1.06,1.0,1,7.056175270304774,1.3264252016014024,0.24142761425559744,3,0
106,101,1.06,1.01,1,7.0497001319749995,1.3237598835450113,0.2416917220786382,3,0
106,102,1.06,1.02,1,7.04516019222336,1.3208391624318006,0.24207017439407694,3,0
106,103,1.06,1.03,1,7.08620580932675,1.3276846158316518,0.2422251236896395,3,0
106,104,1.06,1.04,1,7.082051664427599,1.3242432757015337,0.2427122308475151,3,0
106,105,1.06,1.05,1,7.079846123967281,1.3205786688278898,0.2433099606445234,3,0
106,106,1.06,1.06,1,7.116535727428914,1.3268468574622017,0.2434154731558809,3,0
106,107,1.06,1.07,1,7.116836497320083,1.3227141526254007,0.2441863232793399,3,0
106,108,1.06,1.08,1,7.152149963135623,1.3286986330482744,0.24429268985248542,3,0
106,109,1.06,1.09,1,7.1563622102273925,1.3241247773701807,0.24528091021092432,3,0
106,110,1.06,1.1,0,10000.0,1.6072158159003829,282.37493907498686,2,0
106,111,1.06,1.11,1,7.198460200931785,1.3248489515532098,0.24658893739887017,3,0
106,112,1.06,1.12,0,10000.0,1.607621829919231,282.30362368121564,2,0
106,113,1.06,1.1300000000000001,0,10000.0,1.6051714250456797,282.73457963052806,2,0
106,114,1.06,1.1400000000000001,0,10000.0,1.6022514226566755,283.2498456095754,2,0
106,115,1.06,1.1500000000000001,0,10000.0,1.605221573222717,282.7257468164229,2,0
106,116,1.06,1.16,0,10000.0,1.602197262648541,283.2594204692384,2,0
106,117,1.06,1.17,0,10000.0,1.6050403563749338,282.7576679257095,2,0
106,118,1.06,1.18,0,10000.0,1.6018847601377812,283.31467992503434,2,0
106,119,1.06,1.19,0,10000.0,1.6046427137333776,282.82773742157417,2,0
107,0,1.07,0.0,0,10000.0,1.142600738338719,397.1968972775929,2,0
107,1,1.07,0.01,0,10000.0,1.142142909190005,397.35611405851336,2,0
107,2,1.07,0.02,0,10000.0,1.1414601114500678,397.5938042361269,2,0
107,3,1.07,0.03,0,10000.0,1.1405496018172605,397.91120646758156,2,0
107,4,1.07,0.04,0,10000.0,1.1421524089858863,397.35280906878864,2,0
107,5,1.07,0.05,0,10000.0,1.1414483022107922,397.5979176772347,2,0
107,6,1.07,0.06,0,10000.0,1.1404985491171793,397.92901836352695,2,0
107,7,1.07,0.07,0,10000.0,1.142085335912566,397.37614504313194,2,0
107,8,1.07,0.08,0,10000.0,1.1413318447681124,397.6384871548321,2,0
107,9,1.07,0.09,0,10000.0,1.140307555831264,397.9956686022188,2,0
107,10,1.07,0.1,0,10000.0,1.1419276078562248,397.43103238149104,2,0
107,11,1.07,0.11,0,10000.0,1.1410768702028762,397.7273398018632,2,0
107,12,1.07,0.12,0,10000.0,1.1423195428774875,397.2946719899542,2,0
107,13,1.07,0.13,0,10000.0,1.1416404006422487,397.5310157558476,2,0
107,14,1.07,0.14,0,10000.0,1.14063707763481,397.8806905315487,2,0
107,15,1.07,0.15,0,10000.0,1.1420306293871527,397.39518049421184,2,0
107,16,1.07,0.16,0,10000.0,1.1411648277083726,397.696684191186,2,0
107,17,1.07,0.17,0,10000.0,1.1399407912923247,398.1237197247067,2,0
107,18,1.07,0.18,0,10000.0,1.1415399332381464,397.56600262581173,2,0
107,19,1.07,0.19,0,10000.0,1.1404084072477878,397.96047206500134,2,0
107,20,1.07,0.2,0,10000.0,1.1417930911903755,397.4778544351481,2,0
