case_id,terrain,nominal_length_m,method,status,cmt,time_s,landing_transition_count,foot_placement_mae_per_transition_m,landing_metric_source,source_record
raised_L1145_r3,raised_0.01m,1.145,Continuous-torque PPO,ok,0.23083457521884124,3.9,3,0.04400960200397308,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r3/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r3/continuous
raised_L1280_r1,raised_0.01m,1.28,Continuous-torque PPO,ok,0.23140221463914637,3.3000000000000003,3,0.04231975381868643,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r1/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r1/continuous
raised_L1280_r2,raised_0.01m,1.28,Continuous-torque PPO,ok,0.22497154385730195,3.92,3,0.03589406217109764,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r2/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r2/continuous
raised_L1280_r3,raised_0.01m,1.28,Continuous-torque PPO,ok,0.2253669869175364,3.74,3,0.039056026791800626,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r3/continuous,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r3/continuous
flat_L1145_r1,flat,1.145,Continuous-torque MPC,ok,0.19511386157200397,2.25,3,0.02813011002224891,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r1/mpc,results/paper2_mpc_current_12_cases.csv
flat_L1145_r2,flat,1.145,Continuous-torque MPC,ok,0.20264315899801366,3.42,3,0.030981285544883885,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r2/mpc,results/paper2_mpc_current_12_cases.csv
flat_L1145_r3,flat,1.145,Continuous-torque MPC,ok,0.22685540044755492,2.64,3,0.027496725914280262,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r3/mpc,results/paper2_mpc_current_12_cases.csv
flat_L1280_r1,flat,1.28,Continuous-torque MPC,ok,0.18714936044447653,2.54,3,0.03163224302552784,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r1/mpc,results/paper2_mpc_current_12_cases.csv
flat_L1280_r2,flat,1.28,Continuous-torque MPC,ok,0.20191743337940996,2.82,3,0.02765920732566231,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r2/mpc,results/paper2_mpc_current_12_cases.csv
flat_L1280_r3,flat,1.28,Continuous-torque MPC,ok,0.1770488302673606,2.99,3,0.04297507899820311,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r3/mpc,results/paper2_mpc_current_12_cases.csv
