walk_direction,commanded_step_length_m,commanded_step_height_m,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
1.0,0.3,0.0,true_hard_mask,600,211,0.3516666666666667,0.3145138540633485,0.3907067839040495,98,0.16333333333333333,0.13591247797024722,0.1950377340456446,1.2238243956636197,2.2942006393700987,0.44448045414250503,0.1304995909102881,1.2397692985779751,0,0,0,600
1.0,0.3,0.01,active,600,215,0.35833333333333334,0.3209780495902078,0.39749109903034086,128,0.21333333333333335,0.1824314860069765,0.24788255590754527,1.3939805126805191,2.523427167969146,0.49142406103713765,0.1959231171347922,1.4502878666617196,0,0,600,0
1.0,0.3,0.01,positive_expert,600,178,0.2966666666666667,0.2615036970694153,0.3344167280094898,134,0.22333333333333333,0.19182825353148128,0.25835855436276645,0.1070692054184686,0.1757138390396501,0.040038465704993996,0.021547173323290588,0.08672883546511673,600,0,0,0
1.0,0.3,0.01,negative_expert,600,197,0.3283333333333333,0.29195354089671477,0.36689730978465585,132,0.22,0.1886928970677066,0.2548696554999658,0.3850742236344723,0.7802073354808096,0.12803222203294623,0.06694219381008291,0.33281339452050246,0,600,0,0
1.0,0.3,0.01,proposed_phase_aware_three_expert,600,219,0.365,0.32745022590284734,0.4042674333708519,143,0.23833333333333334,0.20597424902728556,0.27402170783655116,0.6969833001831466,1.5873629244024616,0.1074649235136548,0.033620572514260365,0.5005147727935993,118,28,454,0
1.0,0.3,0.01,released_two_expert_selector,600,202,0.33666666666666667,0.2999991284980691,0.3754123604997399,142,0.23666666666666666,0.2043995651449481,0.272284264055601,0.2474994939817768,0.7251226659764032,0.04443111284051096,0.021906267973545834,0.10877858201130952,446,154,0,0
1.0,0.3,0.01,true_hard_mask,600,211,0.3516666666666667,0.3145138540633485,0.3907067839040495,112,0.18666666666666668,0.15751805107031233,0.2198019482316068,1.5070115807322877,2.573338443550339,0.39838477972630265,0.12928705350494676,1.6631678944611976,0,0,0,600
1.0,0.3,0.02,active,600,227,0.37833333333333335,0.3404181493731606,0.41779653120684,139,0.23166666666666666,0.1996798193432105,0.26706762686747554,1.5938434387716602,2.2510239367387888,0.7928633192505539,0.22340920783573576,1.9217086311543028,0,0,600,0
1.0,0.3,0.02,positive_expert,600,185,0.30833333333333335,0.27269878773134837,0.3464065309905704,137,0.22833333333333333,0.19653696364484088,0.26358622723926983,0.1866879933640246,0.4478871874742716,0.04350557087676217,0.021577793307428074,0.10189358459456589,600,0,0,0
1.0,0.3,0.02,negative_expert,600,187,0.31166666666666665,0.2759024447670414,0.34982712928145254,127,0.21166666666666667,0.1808681087580246,0.24613380549320954,0.3512202909392722,0.6233088046962334,0.1446583534870623,0.056075652306707115,0.36728503492375064,0,600,0,0
1.0,0.3,0.02,proposed_phase_aware_three_expert,600,229,0.38166666666666665,0.34366497817960107,0.42117395772697486,157,0.26166666666666666,0.22809210629110613,0.29827363785875793,0.7438926216128432,1.523044799780693,0.12355597484094309,0.0354245806566306,0.7588282373564621,126,27,447,0
1.0,0.3,0.02,released_two_expert_selector,600,198,0.33,0.2935616049379783,0.36860137340668003,140,0.23333333333333334,0.20125234504726427,0.2688072288267095,0.2601036986881486,0.6486614449880606,0.04698139160379129,0.021783724575825836,0.1348637589757487,445,155,0,0
1.0,0.3,0.02,true_hard_mask,600,209,0.34833333333333333,0.31128478040197904,0.38731160223884353,122,0.20333333333333334,0.17306341797818775,0.23737785795660804,1.579500227460792,2.3208372893504996,0.6410879529490348,0.20742172579608326,1.635040825717197,0,0,0,600
1.0,0.35,0.0,active,600,213,0.355,0.3177449480721892,0.39409994522178404,114,0.19,0.1606200129971531,0.22332424163134137,1.8882321862006928,3.281338107776813,0.7922371052409272,0.2729430574786987,1.8625290224273454,0,0,600,0
1.0,0.35,0.0,positive_expert,600,179,0.29833333333333334,0.26310128834817,0.3361312643940227,142,0.23666666666666666,0.2043995651449481,0.272284264055601,0.2093080556771032,1.2890434549184053,0.031054472702304194,0.015440542938996674,0.06268924360023817,600,0,0,0
1.0,0.35,0.0,negative_expert,600,205,0.3416666666666667,0.3048327476564238,0.3805151243312482,127,0.21166666666666667,0.1808681087580246,0.24613380549320954,0.7038454470186074,1.4891527875584187,0.24282780767699183,0.05734531903475587,0.641374953779732,0,600,0,0
1.0,0.35,0.0,proposed_phase_aware_three_expert,600,223,0.37166666666666665,0.33393028855586004,0.4110358813709899,145,0.24166666666666667,0.20912573889505948,0.2774944732953526,0.43592870533441264,1.2838250292964277,0.04596797886462208,0.02106008852090806,0.2908426308141302,138,44,418,0
1.0,0.35,0.0,released_two_expert_selector,600,211,0.3516666666666667,0.3145138540633485,0.3907067839040495,141,0.235,0.20282559541589984,0.27054610612136154,0.22732052281921925,1.297598854211265,0.030876880909327793,0.015427174969445033,0.06307901672060298,453,147,0,0
1.0,0.35,0.0,true_hard_mask,600,198,0.33,0.2935616049379783,0.36860137340668003,100,0.16666666666666666,0.138986790895042,0.19858767644742514,1.960746567226245,3.133927531266043,0.9536009908122949,0.3087671167726176,2.218146326338981,0,0,0,600
1.0,0.35,0.01,active,600,221,0.36833333333333335,0.3306892770911631,0.40765263750911157,111,0.185,0.15596845243160834,0.21803941920702313,1.791238504507384,3.500310691911102,0.7180774154460843,0.24987390254981628,1.734474858803724,0,0,600,0
1.0,0.35,0.01,positive_expert,600,193,0.32166666666666666,0.2855266131737779,0.3600757268544421,147,0.245,0.21228002521890663,0.2809644422980807,0.08238616992125976,0.14550053511735309,0.033143498035883054,0.017163871223225827,0.06887730963895486,600,0,0,0
1.0,0.35,0.01,negative_expert,600,219,0.365,0.32745022590284734,0.4042674333708519,125,0.20833333333333334,0.17774377208292694,0.24263388684173184,0.8324071211312157,1.6175152001828152,0.1708310788830724,0.06984003715674798,0.8855449995158571,0,600,0,0
1.0,0.35,0.01,proposed_phase_aware_three_expert,600,233,0.3883333333333333,0.35016438390869076,0.42792306265103575,142,0.23666666666666666,0.2043995651449481,0.272284264055601,0.5057732300923843,2.488584985027267,0.05215304347255363,0.019157724201025867,0.25776645389076724,142,42,416,0
