walk_direction,commanded_step_length_m,commanded_step_height_m,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
1.0,0.35,0.01,released_two_expert_selector,600,229,0.38166666666666665,0.34366497817960107,0.42117395772697486,147,0.245,0.21228002521890663,0.2809644422980807,0.24750383919969987,1.015555888423339,0.03426789115420116,0.01737433382465331,0.08902408543333198,438,162,0,0
1.0,0.35,0.01,true_hard_mask,600,206,0.3433333333333333,0.30644498721602165,0.38221501243493794,96,0.16,0.13284248906564322,0.1914834676236733,1.5750177452241445,2.2812882437617925,0.8197136462973784,0.2884703391881411,1.6748141915982202,0,0,0,600
1.0,0.35,0.02,active,600,223,0.37166666666666665,0.33393028855586004,0.4110358813709899,126,0.21,0.17930553513436756,0.24438425145357887,2.058503421649829,3.279358866770556,0.9510891717414987,0.32052581466473457,2.3849478487865063,0,0,600,0
1.0,0.35,0.02,positive_expert,600,177,0.295,0.25990668214519635,0.332701615270421,137,0.22833333333333333,0.19653696364484088,0.26358622723926983,0.08456478416656522,0.1461007874139935,0.033391577949855256,0.01832212146954346,0.06437115393630559,600,0,0,0
1.0,0.35,0.02,negative_expert,600,206,0.3433333333333333,0.30644498721602165,0.38221501243493794,124,0.20666666666666667,0.1761828266922091,0.24088270456916197,1.2304898723319782,2.827269968003205,0.3406649758092048,0.09214131347534886,0.9086287650462763,0,600,0,0
1.0,0.35,0.02,proposed_phase_aware_three_expert,600,226,0.37666666666666665,0.3387954576858182,0.41610709523089473,144,0.24,0.20754964195057238,0.275758442576552,0.44223304508416067,1.2422605458264182,0.044616699168845815,0.02213863210016786,0.22172433469640648,145,42,413,0
1.0,0.35,0.02,released_two_expert_selector,600,213,0.355,0.3177449480721892,0.39409994522178404,138,0.23,0.1981080237072888,0.26532729484010964,0.23643626838884116,0.9663428665470338,0.03384527408406199,0.01869991068415837,0.08333257264405038,447,153,0,0
1.0,0.35,0.02,true_hard_mask,600,199,0.33166666666666667,0.29517019770455494,0.3703049083033911,99,0.165,0.13744910047022482,0.1968132392089547,2.0728200356458086,3.034959157829807,0.9491699726143624,0.33484939676004977,2.5183398280150335,0,0,0,600
1.0,0.4,0.0,active,600,203,0.3383333333333333,0.3016098164666039,0.3771138001944927,98,0.16333333333333333,0.13591247797024722,0.1950377340456446,1.588494817407322,2.6457606456327736,0.653959243476829,0.2152666322973835,1.696635768595487,0,0,600,0
1.0,0.4,0.0,positive_expert,600,172,0.2866666666666667,0.2519303528145096,0.3241173062846695,131,0.21833333333333332,0.1871263720828225,0.2531240528215622,0.06118066661162621,0.10802471985554339,0.026973119338905668,0.013066043028898043,0.05382855331175877,600,0,0,0
1.0,0.4,0.0,negative_expert,600,211,0.3516666666666667,0.3145138540633485,0.3907067839040495,111,0.185,0.15596845243160834,0.21803941920702313,1.4323572614454851,2.3055132670442893,0.6652628684243689,0.2693456993100384,1.600241138538129,0,600,0,0
1.0,0.4,0.0,proposed_phase_aware_three_expert,600,220,0.36666666666666664,0.32906950577084787,0.4059602811661391,140,0.23333333333333334,0.20125234504726427,0.2688072288267095,0.3489175683446365,0.9064479739549965,0.039250768579624576,0.015987896203592856,0.13155015147363952,139,60,401,0
1.0,0.4,0.0,released_two_expert_selector,600,218,0.36333333333333334,0.3258314389005266,0.40257409270988503,137,0.22833333333333333,0.19653696364484088,0.26358622723926983,0.2440783222796937,1.2592515292917248,0.029024336510487688,0.013361464133861243,0.0643625218573502,446,154,0,0
1.0,0.4,0.0,true_hard_mask,600,195,0.325,0.2887390071610669,0.36348758819372845,100,0.16666666666666666,0.138986790895042,0.19858767644742514,1.2333126789796232,2.062461465736886,0.42332309160336823,0.20636725502946782,1.0809577106623804,0,0,0,600
1.0,0.4,0.01,active,600,225,0.375,0.33717324946832583,0.4144171757850994,107,0.17833333333333334,0.14977949878555574,0.2109798621999251,1.6263533223454487,3.21600005357804,0.5840711335316815,0.21272929696534104,1.2659083499385793,0,0,600,0
1.0,0.4,0.01,positive_expert,600,185,0.30833333333333335,0.27269878773134837,0.3464065309905704,127,0.21166666666666667,0.1808681087580246,0.24613380549320954,0.0669714725756093,0.10847288454825277,0.024199254064148468,0.014701589352698465,0.058159331198189765,600,0,0,0
1.0,0.4,0.01,negative_expert,600,229,0.38166666666666665,0.34366497817960107,0.42117395772697486,109,0.18166666666666667,0.15287206755528537,0.21451154875677075,1.556644416159703,2.619466362677058,0.6214998059025709,0.20093684422401673,1.8025762648610952,0,600,0,0
