batch,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
batch03,negative_expert,2160,988,0.45740740740740743,0.4364923317535878,0.47847371196928223,500,0.23148148148148148,0.21418042883079297,0.24973593376990955,0.8714708992762003,2.598885974923025,0.1519313633425753,0.05836493005075963,0.6328709539710589,0,2160,0,0
batch03,proposed_phase_aware_three_expert,2160,1061,0.4912037037037037,0.4701554442593304,0.5122831952051753,553,0.25601851851851853,0.23805781086484226,0.2748455048085546,0.8007465001848179,2.1109160661881927,0.13000711219185698,0.03748497785924366,0.7731331480771646,260,549,1351,0
batch03,released_two_expert_selector,2160,1040,0.48148148148148145,0.46046165588718685,0.5025670587749306,539,0.24953703703703703,0.23174286829503773,0.26822049751010024,0.5370718250791274,2.0197227928805153,0.058538241673503535,0.024216198351068658,0.2605440274457149,1029,1131,0,0
batch03,true_hard_mask,2160,1029,0.47638888888888886,0.4553871360918074,0.49747447510239223,483,0.22361111111111112,0.20653908336549914,0.24166448296660326,1.5894561372142018,2.5865760705092447,0.7797774290663647,0.3899229902369885,1.71469068547828,0,0,0,2160
batch04,active,2160,1029,0.47638888888888886,0.4553871360918074,0.49747447510239223,509,0.23564814814814813,0.21822937770650017,0.2540055240952259,1.6871474812339458,3.9177013675227292,0.6429774394591361,0.17802446983273698,1.6956132718042254,0,0,2160,0
batch04,positive_expert,2160,805,0.3726851851851852,0.352537223880654,0.3932851894214032,448,0.2074074074074074,0.1908356214568947,0.22501807020456044,0.17132072220503775,0.41027800846177653,0.04864732733845267,0.022257429680788733,0.12179752477492894,2160,0,0,0
batch04,negative_expert,2160,962,0.44537037037037036,0.42452612234677506,0.46640858590647133,495,0.22916666666666666,0.21193206004046272,0.24736289189300442,0.6757169995166245,1.9886020099778312,0.1647846325214824,0.060729033810369634,0.5900763408006782,0,2160,0,0
batch04,proposed_phase_aware_three_expert,2160,1036,0.47962962962962963,0.4586161228878606,0.5007154632404686,552,0.25555555555555554,0.23760656587358803,0.27437246766636175,0.8177640320013062,3.429159611919356,0.12034207849143697,0.03566095643957504,0.5940489786280511,268,522,1370,0
batch04,released_two_expert_selector,2160,989,0.45787037037037037,0.43695281716927403,0.4789375086870431,519,0.24027777777777778,0.22273100603498397,0.2587467171012128,0.3996578801688358,1.829933766067975,0.05735117420100772,0.02299338344071832,0.21271231581272976,1035,1125,0,0
batch04,true_hard_mask,2160,970,0.44907407407407407,0.42820671555525147,0.4701222497655714,453,0.20972222222222223,0.1930765199288081,0.22739858239988237,1.5948100751374756,2.4184810856897014,0.8163211808668389,0.3977097879881395,1.719134158065684,0,0,0,2160
batch05,active,2160,1036,0.47962962962962963,0.4586161228878606,0.5007154632404686,534,0.24722222222222223,0.22948884426887728,0.26585311086902547,1.9078991118825304,4.314087648100548,0.6051515000025285,0.18160440173580514,1.6677497803120405,0,0,2160,0
batch05,positive_expert,2160,803,0.37175925925925923,0.3516232352792782,0.39235061375588487,484,0.22407407407407406,0.206988328542555,0.24213951992299443,0.14735818970649564,0.3063390437196236,0.04694696223917387,0.02110309593392982,0.12787084698319418,2160,0,0,0
batch05,negative_expert,2160,965,0.44675925925925924,0.4259062072761006,0.4678013473774869,521,0.2412037037037037,0.22363167996195038,0.2596946074411405,0.8646029342557303,2.853699678090042,0.15373031040224308,0.05813419891906793,0.6343032684665479,0,2160,0,0
batch05,proposed_phase_aware_three_expert,2160,1038,0.48055555555555557,0.45953885324647514,0.5016412971487482,571,0.26435185185185184,0.246184807247619,0.2833555868278251,0.8453149181511586,3.015806849237757,0.10554271918154245,0.032068043088517316,0.5857881338408231,294,504,1362,0
batch05,released_two_expert_selector,2160,1004,0.4648148148148148,0.4438622828635194,0.48589227499450366,553,0.25601851851851853,0.23805781086484226,0.2748455048085546,0.532999402148283,2.619727282215171,0.0539598624577534,0.02226177684878965,0.2052376120482309,1023,1137,0,0
batch05,true_hard_mask,2160,991,0.4587962962962963,0.43787384266533474,0.47986504745787656,493,0.22824074074074074,0.2110329243265363,0.24641346334003678,1.5233026770166043,2.160982011196126,0.7855344093559722,0.3691576418781909,1.6329659097857232,0,0,0,2160
