seed,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
20263106,released_two_expert_selector,proposed_phase_aware_three_expert,720,342,349,0.9722222222222243,15,8,0.21003961563110352,175,0.9615384615384616,0.9408602150537635,0.4788020373430989,1.7756168641137025,0.7401465251714437,2.1009508712905776,0.2613444878283448,-0.5458299410724337,0.08571428571428572,0.6514285714285715
20263106,active,true_hard_mask,720,346,343,-0.41666666666667074,15,18,0.7283324808813632,161,0.9096045197740112,0.936046511627907,1.803530238171348,3.59427481707613,1.5076314839351992,2.1151586171159713,-0.29589875423614875,0.16406642260468518,0.42857142857142855,0.043478260869565216
20263107,active,proposed_phase_aware_three_expert,720,352,358,0.8333333333333359,15,9,0.30745625495910645,168,0.9385474860335196,0.8795811518324608,1.708647175840539,3.557428126536729,1.1437946818864326,3.0904422012046266,-0.5648524939541067,0.33058462972394353,0.5178571428571429,0.4166666666666667
20263107,true_hard_mask,proposed_phase_aware_three_expert,720,337,358,2.9166666666666674,34,13,0.0030876764615186394,153,0.9622641509433962,0.8010471204188482,1.5589080333572132,2.671234329413667,1.102470625566071,3.1766515042237167,-0.4564374077911424,0.2927930307782003,0.7450980392156863,0.0196078431372549
20263107,released_two_expert_selector,proposed_phase_aware_three_expert,720,349,358,1.250000000000001,17,8,0.10775214433670044,181,0.9679144385026738,0.9476439790575916,0.7386047286733579,2.7332871717776253,1.0150526315851243,2.929430571540379,0.27644790291176646,-0.37428396025612676,0.0718232044198895,0.6740331491712708
20263107,active,true_hard_mask,720,352,337,-2.0833333333333313,18,33,0.04887389231827033,150,0.8379888268156425,0.9433962264150944,1.7254872130068974,3.7006966984609786,1.6120479427184298,2.7073896211440998,-0.11343927028846773,0.0657433271213782,0.4266666666666667,0.03333333333333333
20263108,active,proposed_phase_aware_three_expert,720,340,332,-1.1111111111111072,7,15,0.13380050659179688,150,0.9433962264150944,0.9090909090909091,1.2235443736131906,1.746127797012598,0.594616114424374,1.1172904247212472,-0.6289282591888165,0.514021618465343,0.5466666666666666,0.38666666666666666
20263108,true_hard_mask,proposed_phase_aware_three_expert,720,338,332,-0.8333333333333304,20,26,0.4613911821367651,140,0.9090909090909091,0.8484848484848485,1.5727750112490961,2.315564105593915,0.5259291933623557,0.9719521367492769,-1.0468458178867406,0.6656043047475282,0.8071428571428572,0.007142857142857143
20263108,released_two_expert_selector,proposed_phase_aware_three_expert,720,327,332,0.6944444444444475,15,10,0.42435622215270996,155,0.96875,0.9393939393939394,0.38302900281159874,1.2640215719819152,0.4998033197414185,0.911963805409804,0.11677431692981985,-0.3048706914428039,0.03225806451612903,0.7161290322580646
20263108,active,true_hard_mask,720,340,338,-0.2777777777777768,17,19,0.8679394004284404,142,0.8930817610062893,0.922077922077922,1.1595619545791145,1.6668904066803683,1.5404696705501417,2.280176514713918,0.38090771597102746,-0.32849276786533155,0.3873239436619718,0.007042253521126761
20263109,active,proposed_phase_aware_three_expert,720,366,371,0.694444444444442,13,8,0.38331031799316406,184,0.9735449735449735,0.934010152284264,1.3486711454773044,2.7075568199981106,0.74082069543429,1.838241612610976,-0.6078504500430144,0.45070323635336007,0.5434782608695652,0.41304347826086957
20263109,true_hard_mask,proposed_phase_aware_three_expert,720,354,371,2.361111111111108,37,20,0.03314396778750544,159,0.9352941176470588,0.8071065989847716,1.2741729016877128,1.5830426266820634,0.5147672385359172,1.035209943778455,-0.7594056631517956,0.59599891203613,0.8364779874213837,0.018867924528301886
20263109,released_two_expert_selector,proposed_phase_aware_three_expert,720,364,371,0.9722222222222188,19,12,0.28104151505976915,182,0.9479166666666666,0.9238578680203046,0.44299477133279447,1.6339493879639726,0.6568263327820542,1.7962552637654479,0.21383156144925974,-0.48269545215155896,0.04945054945054945,0.6593406593406593
20263109,active,true_hard_mask,720,366,354,-1.6666666666666663,19,31,0.11892045255943628,159,0.8412698412698413,0.9352941176470588,1.1294310638114755,2.0368528705888775,1.3068574463871685,1.6282555848363325,0.17742638257569307,-0.1570935918629106,0.39622641509433965,0.025157232704402517
20263110,active,proposed_phase_aware_three_expert,720,338,345,0.9722222222222243,13,6,0.1670684814453125,165,0.9821428571428571,0.9217877094972067,1.5696128215220948,3.3842993293083303,0.889368987967178,3.1158313171965837,-0.6802438335549172,0.43338320395170227,0.509090909090909,0.4484848484848485
20263110,true_hard_mask,proposed_phase_aware_three_expert,720,319,345,3.611111111111115,40,14,0.0005354355028570622,144,0.9536423841059603,0.8044692737430168,1.483932065769784,2.3788742714221014,0.7798101608576331,3.2477404633904006,-0.7041219049121509,0.47449739860354756,0.8125,0.020833333333333332
20263110,released_two_expert_selector,proposed_phase_aware_three_expert,720,320,345,3.4722222222222268,30,5,2.2361520677804947e-05,163,0.9588235294117647,0.9106145251396648,0.6281691491090097,3.064409050316445,0.8453378151319714,3.188250598034,0.21716866602296162,-0.34571686038862626,0.0736196319018405,0.656441717791411
20263110,active,true_hard_mask,720,338,319,-2.6388888888888906,15,34,0.009399241523873059,143,0.8511904761904762,0.9470198675496688,1.3984851356428984,3.440040596247135,1.4866084462830993,2.387018323262538,0.08812331064020076,-0.06301340528706412,0.34265734265734266,0.02097902097902098
20263111,active,proposed_phase_aware_three_expert,720,349,354,0.694444444444442,13,8,0.38331031799316406,171,0.9827586206896551,0.9047619047619048,1.6746675728723395,2.786692966957714,0.6487095611400555,1.5756778033801322,-1.0259580117322837,0.6126338315446042,0.5146198830409356,0.40350877192982454
20263111,true_hard_mask,proposed_phase_aware_three_expert,720,330,354,3.3333333333333326,37,13,0.000936222910851825,151,0.967948717948718,0.798941798941799,1.5643621067264144,2.4787193452974567,0.5037850921880792,1.3126555701420364,-1.060577014538335,0.6779613300386697,0.847682119205298,0.006622516556291391
20263111,released_two_expert_selector,proposed_phase_aware_three_expert,720,343,354,1.527777777777778,19,8,0.052238985896110535,174,0.9666666666666667,0.9206349206349206,0.3101108227651455,0.8115708108462596,0.5481773555073117,1.4915453880030216,0.2380665327421663,-0.7676821164105576,0.08620689655172414,0.6609195402298851
20263111,active,true_hard_mask,720,349,330,-2.6388888888888906,13,32,0.006608822842281368,145,0.8333333333333334,0.9294871794871795,1.4672249213111161,2.632687795418377,1.4905439879081925,2.4214123832079166,0.023319066597076308,-0.015893314145890125,0.3724137931034483,0.020689655172413793
20263112,active,proposed_phase_aware_three_expert,720,342,337,-0.694444444444442,12,17,0.45825831964612007,156,0.9341317365269461,0.8478260869565217,1.7171348057281808,5.3803779124201405,1.058767603521363,5.293455975088206,-0.6583672022068182,0.3834103181710453,0.5256410256410257,0.4358974358974359
20263112,true_hard_mask,proposed_phase_aware_three_expert,720,321,337,2.2222222222222197,35,19,0.04022356409571669,136,0.9315068493150684,0.7391304347826086,1.3857117062581892,1.5692620822136114,0.596995251807793,1.3952394874317564,-0.788716454450396,0.5691778823029158,0.7941176470588235,0.022058823529411766
20263112,released_two_expert_selector,proposed_phase_aware_three_expert,720,326,337,1.527777777777778,22,11,0.08014331245794892,165,0.9763313609467456,0.8967391304347826,0.295256044325672,0.7231888061965559,0.4632678479085865,0.9793830805810188,0.1680118035829145,-0.5690376431298216,0.07878787878787878,0.6606060606060606
20263112,active,true_hard_mask,720,342,321,-2.9166666666666616,14,35,0.003801654409748778,137,0.8203592814371258,0.9383561643835616,1.1891249138676032,1.770022627037101,1.400689886828556,1.584928400638579,0.21156497296095272,-0.17791652541602399,0.41605839416058393,0.021897810218978103
