walk_direction,commanded_step_length_m,commanded_step_height_m,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
1.0,0.3,0.02,true_hard_mask,proposed_phase_aware_three_expert,600,209,229,3.3333333333333326,37,17,0.009073340339587174,113,0.9262295081967213,0.7197452229299363,1.5285612369021062,2.3380208552532964,0.6061320125940302,1.5267438671201203,-0.9224292243080764,0.603462394596332,0.6814159292035398,0.008849557522123894
1.0,0.3,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,600,198,229,5.166666666666664,36,5,7.84157236921601e-07,131,0.9357142857142857,0.8343949044585988,0.2687441147952869,0.6682172315294166,0.554469915275371,1.4505428564777296,0.28572580048008417,-1.0631890514057685,0.015267175572519083,0.7862595419847328
1.0,0.3,0.02,active,true_hard_mask,600,227,209,-3.0000000000000027,19,37,0.022241389472860106,106,0.762589928057554,0.8688524590163934,1.4558361824904116,2.3754125291739667,1.4868495760994638,2.092592427027702,0.031013393609052118,-0.021302804520217045,0.5754716981132075,0.018867924528301886
1.0,0.35,0.0,active,proposed_phase_aware_three_expert,600,213,223,1.6666666666666663,17,7,0.06391465663909912,110,0.9649122807017544,0.7586206896551724,1.7421897874417207,3.1699059826356257,0.49235479222266426,1.456792066626935,-1.2498349952190564,0.7173931360568635,0.6363636363636364,0.32727272727272727
1.0,0.35,0.0,true_hard_mask,proposed_phase_aware_three_expert,600,198,223,4.1666666666666625,35,10,0.00024708778460080794,92,0.92,0.6344827586206897,1.891620373062371,3.184471618863946,0.4717864237039541,1.530120131187759,-1.4198339493584167,0.7505913816416703,0.8369565217391305,0.021739130434782608
1.0,0.35,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,600,211,223,1.9999999999999962,17,5,0.01690053939819336,134,0.950354609929078,0.9241379310344827,0.124502099446502,0.2573111141518281,0.3609439958366111,1.257902495980886,0.23644189639010915,-1.8990996733489394,0.007462686567164179,0.8582089552238806
1.0,0.35,0.0,active,true_hard_mask,600,213,198,-2.4999999999999964,10,25,0.016673847800120715,87,0.7631578947368421,0.87,1.794895407829616,3.3112341309042654,1.6931680598052683,2.84226661867898,-0.10172734802434795,0.056675919711308476,0.4942528735632184,0.04597701149425287
1.0,0.35,0.01,active,proposed_phase_aware_three_expert,600,221,233,1.9999999999999962,14,2,0.004180908203125,109,0.9819819819819819,0.7676056338028169,1.804978437852017,3.5310752475879132,0.5949222290445177,2.832977887155715,-1.210056208807499,0.6703992598645696,0.6605504587155964,0.28440366972477066
1.0,0.35,0.01,true_hard_mask,proposed_phase_aware_three_expert,600,206,233,4.499999999999998,34,7,2.532080361561384e-05,92,0.9583333333333334,0.647887323943662,1.5461011630844421,2.2745649629653855,0.5571573056793933,3.032810937247481,-0.9889438574050488,0.6396372249226725,0.8804347826086957,0.03260869565217391
1.0,0.35,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,600,229,233,0.6666666666666654,14,10,0.5412561893463135,133,0.9047619047619048,0.9366197183098591,0.19006715469631408,0.5816932807271539,0.18709813309282106,0.3897142385210858,-0.002969021603493034,0.015620908348088158,0.03007518796992481,0.8721804511278195
