batch,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
batch03,released_two_expert_selector,proposed_phase_aware_three_expert,2160,1040,1061,0.9722222222222243,51,30,0.02565435797169624,518,0.961038961038961,0.9367088607594937,0.5283436287803941,2.008993809996428,0.7350124197744425,2.100310592815615,0.20666879099404845,-0.3911635907697304,0.052123552123552123,0.6814671814671814
batch03,active,true_hard_mask,2160,1058,1029,-1.3425925925925952,54,83,0.016432262062014133,451,0.855787476280835,0.9337474120082816,1.337162790792225,2.633888243809965,1.4819162274976594,2.237083181926553,0.14475343670543442,-0.10825416149941836,0.4035476718403548,0.022172949002217297
batch04,active,proposed_phase_aware_three_expert,2160,1029,1036,0.3240740740740766,38,31,0.47036853185814453,492,0.9666011787819253,0.8913043478260869,1.6529010166786828,3.95684830403672,0.8594369189407854,3.6022713036201934,-0.7934640977378973,0.48004332366633395,0.516260162601626,0.42886178861788615
batch04,true_hard_mask,proposed_phase_aware_three_expert,2160,970,1036,3.055555555555556,112,46,1.554094082826557e-07,431,0.9514348785871964,0.7807971014492754,1.4811176047277288,2.191731161132813,0.625418947400833,2.175646196329588,-0.8556986573268959,0.5777384959813487,0.8190255220417634,0.016241299303944315
batch04,released_two_expert_selector,proposed_phase_aware_three_expert,2160,989,1036,2.1759259259259256,71,24,1.4640982465812788e-06,502,0.9672447013487476,0.9094202898550725,0.4085021947801589,1.8596792334400511,0.6167572084256979,2.0965348071411665,0.208255013645539,-0.5098014559202413,0.0796812749003984,0.6593625498007968
batch04,active,true_hard_mask,2160,1029,970,-2.731481481481479,42,101,8.743063477348701e-07,425,0.8349705304518664,0.9381898454746137,1.3544496498515484,2.7084914525980244,1.460255060142784,2.1695534879585505,0.10580541029123598,-0.07811690180054476,0.3764705882352941,0.021176470588235293
batch05,active,proposed_phase_aware_three_expert,2160,1036,1038,0.09259259259259411,37,35,0.906294324703081,507,0.949438202247191,0.8879159369527145,1.6733764924181564,3.4758298922586564,0.85184975952743,3.111828544879616,-0.8215267328907266,0.49093956835951347,0.5404339250493096,0.42011834319526625
batch05,true_hard_mask,proposed_phase_aware_three_expert,2160,991,1038,2.1759259259259256,103,56,0.00024036762876301516,463,0.9391480730223124,0.8108581436077058,1.4733481110813516,2.10006737231491,0.677145087306602,1.9930088015403162,-0.7962030237747496,0.5404038718252288,0.8077753779697624,0.01511879049676026
batch05,released_two_expert_selector,proposed_phase_aware_three_expert,2160,1004,1038,1.5740740740740777,52,18,5.849547318695842e-05,538,0.972875226039783,0.9422066549912435,0.5336203550291614,2.653599143595177,0.7375464596771404,2.772182952158498,0.20392610464797914,-0.3821557830882123,0.07434944237918216,0.6654275092936803
batch05,active,true_hard_mask,2160,1036,991,-2.0833333333333313,40,85,7.028919966641757e-05,465,0.8707865168539326,0.9432048681541582,1.3724127282084664,2.498271037859271,1.431660617720932,2.04937011185755,0.05924788951246569,-0.04317060625764313,0.3978494623655914,0.030107526881720432
