eval_label,controller,category,value,count,fraction_of_successes,fraction_of_all,n_successes,n_all
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.999,20,0.02074688796680498,0.009259259259259259,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.987,10,0.01037344398340249,0.004629629629629629,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.995,9,0.00933609958506224,0.004166666666666667,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.993,7,0.007261410788381743,0.0032407407407407406,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.961,7,0.007261410788381743,0.0032407407407407406,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.967,6,0.006224066390041493,0.002777777777777778,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.984,6,0.006224066390041493,0.002777777777777778,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.990,6,0.006224066390041493,0.002777777777777778,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.958,5,0.005186721991701245,0.0023148148148148147,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.982,5,0.005186721991701245,0.0023148148148148147,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.983,5,0.005186721991701245,0.0023148148148148147,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.998,5,0.005186721991701245,0.0023148148148148147,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.894,5,0.005186721991701245,0.0023148148148148147,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.932,5,0.005186721991701245,0.0023148148148148147,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.975,5,0.005186721991701245,0.0023148148148148147,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.647,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.735,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.736,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.828,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.945,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.952,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.959,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.971,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.988,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.989,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.992,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.994,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.996,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.796,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.885,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.948,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.967,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.983,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.990,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.995,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.997,4,0.004149377593360996,0.001851851851851852,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.609,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.613,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.690,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.699,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.713,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.775,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.787,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.854,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.889,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.895,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.904,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.937,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.942,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.951,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.972,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.977,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.980,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.981,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.986,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.987,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_negative_p0.997,3,0.0031120331950207467,0.001388888888888889,964,2160
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,passive_selected_from,selector_positive_p0.582,3,0.0031120331950207467,0.001388888888888889,964,2160
