split,seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,label,label_name,label_reason,pos_success,pos_valid,pos_cmt,pos_energy_j,pos_displacement_m,pos_reason,neg_success,neg_valid,neg_cmt,neg_energy_j,neg_displacement_m,neg_reason
train,20260811,37,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.17510670302342946,0.013900822718866886,clearance_ground+foot_ground_before_ready,False,False,nan,0.09404786418845516,0.0027805143580547035,clearance_ground+foot_ground_before_ready
train,20260811,38,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.9464211217237066,-0.017385703761901433,clearance_ground+foot_ground_before_ready,False,False,nan,0.15474738865329674,-0.04500114328698719,clearance_ground+foot_ground_before_ready
train,20260811,39,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.10551368727083178,0.036649431661049614,clearance_ground+foot_ground_before_ready,False,False,nan,0.08646401151991322,0.0344680546630519,clearance_ground+foot_ground_before_ready
train,20260811,40,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,1.2174170964251947,0.12459381263103711,q1_low_limit,False,False,nan,0.05264664969260384,0.013638272565282633,clearance_ground+foot_ground_before_ready
train,20260811,41,1.0,touchdown,0.3,0.0,,,both_success_no_valid_cmt,True,False,nan,0.012903062890469299,-0.0041154653179949485,success,True,False,nan,0.020425963341298342,-0.005775052671872366,success
train,20260811,42,1.0,touchdown,0.3,0.0,0,positive,positive_success_only,True,True,0.15022885476839865,0.08227169341521894,0.02194716812522926,success,False,False,nan,0.0279674265338579,0.005546700043841446,clearance_ground+foot_ground_after_ready
train,20260811,43,1.0,pre_cross,0.3,0.0,,,no_success,False,False,nan,1.3834001813163912,-0.038415287252662716,clearance_ground+foot_ground_before_ready,False,False,nan,0.15975811029110396,-0.05063498888275548,clearance_ground+foot_ground_before_ready
train,20260811,44,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.9166986898151207,0.05687525837568788,q1_low_limit,False,False,nan,0.06505074920177241,-0.0022732144827145306,clearance_ground+foot_ground_before_ready
train,20260811,45,1.0,touchdown,0.3,0.0,1,negative,negative_success_only,False,False,nan,0.011282022222130123,-0.005364737713388079,clearance_ground+foot_ground_before_ready,True,False,nan,0.13438231597531736,-0.008494174746148359,success
train,20260811,46,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.24325223258307196,0.04189926413293934,clearance_ground+foot_ground_before_ready,False,False,nan,0.03978589331554284,0.020247212970685005,clearance
train,20260811,47,1.0,touchdown,0.3,0.0,1,negative,negative_success_only,False,False,nan,0.008936532524498773,-0.014878155971351642,clearance_ground+foot_ground_before_ready,True,False,nan,0.23526630358027228,-0.017381920361281084,success
train,20260811,48,1.0,touchdown,0.3,0.0,,,no_success,False,False,nan,0.01460436412387096,-0.05715113823405704,clearance_ground+foot_ground_before_ready,False,False,nan,0.11661995231286737,-0.04928616428331016,clearance_ground+foot_ground_before_ready
train,20260811,49,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.7482330091657142,0.08641998730560446,clearance_ground+foot_ground_before_ready,False,False,nan,0.14195664135118125,0.0487295891053741,clearance_ground+foot_ground_before_ready
train,20260811,50,1.0,touchdown,0.3,0.0,,,both_success_no_valid_cmt,True,False,nan,0.020989138420182858,0.002596028958399138,success,True,False,nan,0.08236902970572745,0.0024283525925853366,success
train,20260811,51,1.0,mid_cross,0.3,0.0,,,no_success,False,False,nan,0.5661773172737461,-0.012988069937798524,clearance_ground+foot_ground_before_ready,False,False,nan,0.12463116934597401,-0.009238888648220145,clearance_ground+foot_ground_before_ready
train,20260811,52,1.0,touchdown,0.3,0.0,0,positive,positive_lower_cmt,True,True,0.018853615115222863,0.01371983453059905,0.029163231616945118,success,True,True,0.34559513081514937,0.18659655803890932,0.021638015324444232,success
train,20260811,53,1.0,touchdown,0.3,0.0,,,no_success,False,False,nan,0.00717252378265781,0.031220996982390364,clearance_ground+foot_ground_before_ready,False,False,nan,0.20355107683418777,0.011809407292093593,clearance_ground+foot_ground_before_ready
train,20260811,54,1.0,touchdown,0.3,0.0,0,positive,positive_lower_cmt,True,True,0.07116115008697449,0.04836563361058895,0.027238007409004977,success,True,True,0.13715275080500294,0.032469772770876905,0.00948759499703511,success
train,20260811,55,1.0,touchdown,0.3,0.0,1,negative,negative_success_only,False,False,nan,0.016132968058328777,0.008224698319502982,clearance_ground+foot_ground_before_ready,True,False,nan,0.12915567488846597,-0.007610598135729868,success
train,20260811,56,1.0,touchdown,0.3,0.0,,,both_success_no_valid_cmt,True,False,nan,0.014941674320895668,0.00462616131054619,success,True,False,nan,0.04084384460416764,0.004551254569006846,success
train,20260811,57,1.0,touchdown,0.3,0.0,,,both_success_no_valid_cmt,True,False,nan,0.023882778921869376,-0.03078667619098499,success,True,False,nan,0.24611735224569053,-0.02861429369387164,success
train,20260811,58,1.0,touchdown,0.3,0.0,,,both_success_no_valid_cmt,True,False,nan,0.0018715756659103697,-0.002320083728363953,success,True,False,nan,0.0018715756659103697,-0.002320083728363953,success
train,20260811,59,1.0,touchdown,0.3,0.0,,,no_success,False,False,nan,0.014502082561445966,-0.029502131581894686,clearance_ground+foot_ground_before_ready,False,False,nan,0.413119186902777,-0.030211813678327606,clearance_ground+foot_ground_before_ready
